Title,Authors,DOI,DOI link,Venue,Citation count,Year
Quality of life as an outcome measure in alcoholism treatment research.,"D. Donovan, M. Mattson, R. Cisler, R. Longabaugh, A. Zweben",10.15288/JSAS.2005.S15.119,https://doi.org/10.15288/JSAS.2005.S15.119,"Journal of Studies on Alcohol, Supplement",232,2005
Reduction of alcohol use and increase in psychological flexibility after a naturalistic psychedelic experience: a retrospective survey.,"E. Kervadec, Baptiste Fauvel, L. Strika-Bruneau, A. Amirouche, V. Verroust, P. Piolino, B. Romeo, A. Benyamina",10.1093/alcalc/agad078,https://doi.org/10.1093/alcalc/agad078,Alcohol and Alcoholism,9,2023
The Effects of Shopping Well-Being and Shopping Ill-Being on Consumer Life Satisfaction,"A. Ekici, M. Joseph Sirgy, Dong-Jin Lee, G. Yu, M. Bošnjak",10.1007/s11482-017-9524-9,https://doi.org/10.1007/s11482-017-9524-9,Applied Research in Quality of Life,0,2017
Health Risks and Benefits of Alcohol Consumption,-,-,-,Alcohol Research and Health,79,2000
An investigation of changes in well-being in relation to holiday taking,"D. Gilbert, Outi Niininen, J. Abdullah",-,-,-,1,2004
"An exploratory analysis of changes in mood, anxiety and craving from pre- to post-single sessions of exercise, over 12 weeks, among patients with alcohol dependence.","Richard A. Brown, M. Prince, Haruka Minami, A. Abrantes",10.1016/j.mhpa.2016.04.002,https://doi.org/10.1016/j.mhpa.2016.04.002,Mental Health and Physical Activity,47,2016
Evolution of Well-Being and Happiness After Increases in Consumption of Fruit and Vegetables.,"Redzo Mujcic, Andrew J Oswald",10.2105/AJPH.2016.303260,https://doi.org/10.2105/AJPH.2016.303260,American Journal of Public Health,229,2016
Worsening of Health and a Cessation or Reduction in Alcohol Consumption to Special Occasion Drinking Across Three Decades of the Life Course,"L. Ng Fat, N. Cable, N. Shelton",10.1111/acer.12596,https://doi.org/10.1111/acer.12596,Alcoholism: Clinical and Experimental Research,43,2015
The Effect of Alcohol on Quality of Life,P. Allison,10.1016/b978-012564370-2/50026-x,https://doi.org/10.1016/b978-012564370-2/50026-x,-,0,2004
Sober Curiosity: A Qualitative Study Exploring Women’s Preparedness to Reduce Alcohol by Social Class,"Belinda Lunnay, E. Nicholls, A. Pennay, S. Maclean, Carlene J Wilson, S. Meyer, Kristen Foley, M. Warin, I. Olver, P. Ward",10.3390/ijerph192214788,https://doi.org/10.3390/ijerph192214788,International Journal of Environmental Research and Public Health,14,2022
Implication of alcohol consumption on aggregate wellbeing,"Mathew Parackal, Sherly M Parackal",10.1177/1757913916669538,https://doi.org/10.1177/1757913916669538,Perspectives in Public Health,17,2017
A longitudinal examination of alcohol use and subjective well-being in an undergraduate sample.,"D. Molnar, M. Busseri, C. Perrier, S. Sadava",10.15288/JSAD.2009.70.704,https://doi.org/10.15288/JSAD.2009.70.704,Journal of Studies on Alcohol and Drugs,66,2009
Here's to Your Health: Why a Drink With Dinner Might Improve Longevity.,"A. Elagizi, Evan L. O’Keefe, J. O’Keefe",10.1016/j.mayocp.2021.05.013,https://doi.org/10.1016/j.mayocp.2021.05.013,Mayo Clinic proceedings,1,2021
Moderate drinkers may not have reduced risk of all-cause mortality: a lifecourse perspective,Z. Xuan,10.1136/ebmed-2016-110490,https://doi.org/10.1136/ebmed-2016-110490,Evidence-Based Medicine,1,2016
