Title,Authors,DOI,DOI link,Venue,Citation count,Year
Quality of life as an outcome measure in alcoholism treatment research.,"D. Donovan, M. Mattson, R. Cisler, R. Longabaugh, A. Zweben",10.15288/JSAS.2005.S15.119,https://doi.org/10.15288/JSAS.2005.S15.119,"Journal of Studies on Alcohol, Supplement",233,2005
Improved drinking behaviour improves quality of life: a follow-up in alcohol-dependent subjects 7 years after treatment.,"Ulrich Frischknecht, Thomas Sabo, K. Mann",10.1093/alcalc/agt038,https://doi.org/10.1093/alcalc/agt038,Alcohol and Alcoholism,27,2013
Systematic review and meta-analyses of strategies targeting alcohol problems in emergency departments: interventions reduce alcohol-related injuries.,"A. Havard, A. Shakeshaft, R. Sanson-Fisher",10.1111/j.1360-0443.2007.02072.x,https://doi.org/10.1111/j.1360-0443.2007.02072.x,Addiction,248,2008
Harm reduction—a systematic review on effects of alcohol reduction on physical and mental symptoms,"K. Charlet, A. Heinz",10.1111/adb.12414,https://doi.org/10.1111/adb.12414,Addiction Biology,138,2017
Behavioral Counseling Interventions in Primary Care To Reduce Risky/Harmful Alcohol Use by Adults: A Summary of the Evidence for the U.S. Preventive Services Task Force,"E. Whitlock, M. Polen, Carla A Green, T. Orleans, J. Klein",10.7326/0003-4819-140-7-200404060-00017,https://doi.org/10.7326/0003-4819-140-7-200404060-00017,Annals of Internal Medicine,764,2004
How the risk of liver cancer changes after alcohol cessation: A review and meta-analysis of the current literature,"Gawain Heckley, Johan Jarl, B. Asamoah, Ulf G-Gerdtham",10.1186/1471-2407-11-446,https://doi.org/10.1186/1471-2407-11-446,BMC Cancer,95,2011
Drinking Risk Level Reductions Associated with Improvements in Physical Health and Quality of Life Among Individuals with Alcohol Use Disorder,"K. Witkiewitz, H. Kranzler, Kevin A. Hallgren, S. O'Malley, Daniel E. Falk, R. Litten, D. Hasin, K. Mann, R. Anton",10.1111/acer.13897,https://doi.org/10.1111/acer.13897,Alcoholism: Clinical and Experimental Research,96,2018
Alcohol and the marriage effect.,"K. Leonard, J. Rothbard",10.15288/JSAS.1999.S13.139,https://doi.org/10.15288/JSAS.1999.S13.139,"Journal of Studies on Alcohol, Supplement",249,1999
Effects of alcohol consumption in spousal relationships on health-related quality of life and life satisfaction.,M. Livingston,10.15288/JSAD.2009.70.383,https://doi.org/10.15288/JSAD.2009.70.383,Journal of Studies on Alcohol and Drugs,28,2009
Decreased alcohol consumption in outpatient drinkers is associated with improved quality of life and fewer alcohol-related consequences,"K. Kraemer, S. Maisto, J. Conigliaro, M. McNeil, A. Gordon, M. Kelley",10.1007/s11606-002-0045-2,https://doi.org/10.1007/s11606-002-0045-2,Journal of general internal medicine,39,2002
