Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Alcohol Reduction,"Reasoning for ""Alcohol Reduction""",Outcome Measurement,"Reasoning for ""Outcome Measurement""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Population Type,"Reasoning for ""Population Type""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Study Timeline,"Reasoning for ""Study Timeline""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Quality of life as an outcome measure in alcoholism treatment research.,"D. Donovan, M. Mattson, R. Cisler, R. Longabaugh, A. Zweben",10.15288/JSAS.2005.S15.119,https://doi.org/10.15288/JSAS.2005.S15.119,"Journal of Studies on Alcohol, Supplement",232,2005,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear whether all study participants were aged 18 or older.",maybe,"While the abstract mentions ""marked reduction in drinking"" and its effects on QoL, this appears to be part of a broader review rather than a focused study on voluntary reduction.",yes,"The study explicitly focuses on quality of life (QoL) using validated instruments, with 12 different QoL measures mentioned.",no,"This is a literature review, not a primary research study with any of the specified designs (RCT, quasi-experimental, or prospective cohort).",maybe,"While the abstract mentions ""short-term and long-term abstinence,"" specific follow-up durations are not provided.",no,"The abstract specifically focuses on ""individuals diagnosed with or being treated for alcohol use disorders"" rather than the general population.",no,"This is a literature review that looks at alcohol use broadly, including treatment outcomes and various drinking patterns, rather than isolating alcohol reduction interventions.",no,"As a literature review, this paper doesn't conduct its own longitudinal measurements.",Exclude,"This literature review on quality of life and alcohol use disorders fails to meet multiple screening criteria, including study design, population type, and intervention isolation. The paper focuses on individuals with alcohol use disorders rather than the general population and does not represent a primary research study with the specified methodological requirements. Consequently, the abstract does not align with the predefined screening criteria for inclusion.",0.5
Reduction of alcohol use and increase in psychological flexibility after a naturalistic psychedelic experience: a retrospective survey.,"E. Kervadec, Baptiste Fauvel, L. Strika-Bruneau, A. Amirouche, V. Verroust, P. Piolino, B. Romeo, A. Benyamina",10.1093/alcalc/agad078,https://doi.org/10.1093/alcalc/agad078,Alcohol and Alcoholism,9,2023,maybe,"The abstract does not specify the participant age range, so it is unclear whether all study participants were aged 18 or older.",maybe,"While the study measured changes in alcohol consumption, it was not examining voluntary reduction but rather reduction following psychedelic experiences.",no,"The study measured AUDIT scores and psychological flexibility, but not specifically well-being or life satisfaction as required by the criterion.",no,"The study design was a retrospective online survey, which does not meet the required design types of randomized controlled trial, quasi-experimental study, or prospective cohort study.",maybe,The abstract does not specify the follow-up period duration.,yes,"The study included individuals with ""concomitant drinking habit but did not necessarily have an AUD,"" suggesting the inclusion of participants from the general population.",no,"The study examined the effects of psychedelic experiences on alcohol use, not alcohol reduction in isolation.",no,"This was a retrospective study, not a longitudinal one with planned follow-up measurements.",Exclude,"The study fails to meet multiple critical screening criteria, including required study design, intervention type, and outcome measurement. Specifically, the retrospective survey examining psychedelic experiences' impact on alcohol use does not align with the specified methodological requirements for population, intervention, and measurement. Consequently, the research does not qualify for inclusion based on the established screening criteria.",0.5
The Effects of Shopping Well-Being and Shopping Ill-Being on Consumer Life Satisfaction,"A. Ekici, M. Joseph Sirgy, Dong-Jin Lee, G. Yu, M. Bošnjak",10.1007/s11482-017-9524-9,https://doi.org/10.1007/s11482-017-9524-9,Applied Research in Quality of Life,0,2017,maybe,"The abstract does not explicitly state the participant age ranges, but given that it is a general UK population study, it likely includes adults, though this is uncertain.",no,"The study does not examine alcohol consumption or reduction, as it is focused entirely on shopping behaviors.",maybe,"The study measures life satisfaction, which is relevant to well-being, but the abstract does not specify if validated instruments were used.",no,"The study appears to be a cross-sectional survey study, with no mention of randomization, control groups, or longitudinal follow-up.",no,"No follow-up period is mentioned, and the study appears to be a single time point survey.",yes,"The study uses a general population from the UK, with no indication of focusing on specific clinical populations.",no,"This study does not examine alcohol reduction at all, as it focuses on shopping behaviors and their relationship to well-being.",no,"The study appears to be cross-sectional, with no longitudinal measurement mentioned.",Exclude,"The study fundamentally fails to meet the screening criteria, primarily because it does not examine alcohol reduction and instead focuses on shopping behaviors and well-being. Critical requirements such as intervention isolation, longitudinal design, and alcohol consumption measurement are not satisfied, rendering the paper unsuitable for the specified research parameters.",0.1
Health Risks and Benefits of Alcohol Consumption,-,-,-,Alcohol Research and Health,79,2000,maybe,"The abstract does not specify the participant age ranges, so it is uncertain whether all study participants were aged 18 or older.",no,There is no specific mention of voluntary reduction in alcohol consumption or measurements at both baseline and follow-up.,no,"While ""well-being"" is mentioned, there is no indication that validated instruments were used to measure it. The abstract appears to be a review rather than a primary study measuring outcomes.",no,"This appears to be a review paper rather than a primary study with any of the specified study designs (randomized controlled trial, quasi-experimental study, or prospective cohort study).",no,There is no mention of any follow-up period.,yes,"The abstract mentions ""those who drink"" generally, indicating that the study included participants from the general population and not exclusively those with diagnosed alcohol use disorder.",no,"The abstract discusses alcohol consumption broadly, but does not describe a specific intervention, so it is likely that alcohol reduction was not studied in isolation.",no,"As a review paper, this does not appear to be a longitudinal study with effects measured over more than 24 hours.",Exclude,"The abstract represents a review paper that lacks specific details about intervention, measurement, and study design required by the screening criteria. Multiple key requirements are unmet, including validated outcome measurements, intervention isolation, and longitudinal study characteristics. Consequently, the paper does not align with the systematic review's methodological standards.",0.1
An investigation of changes in well-being in relation to holiday taking,"D. Gilbert, Outi Niininen, J. Abdullah",-,-,-,1,2004,maybe,"The abstract does not specify the participant age ranges, which creates significant uncertainty about whether all study participants were aged 18 or older.",no,"The study does not examine alcohol reduction at all, and therefore clearly fails this critical criterion.",maybe,"The study measures ""life satisfaction"" and ""subjective well-being"", which partially matches the criterion of measuring well-being or life satisfaction. However, it is unclear if validated instruments were used.",yes,"The study appears to be a controlled study with holiday-taking and non-holiday-taking groups, which likely meets the criterion of being a randomized controlled trial, quasi-experimental study, or prospective cohort study, though the exact design details are not specified.",maybe,"While there are pre and post measurements, the exact duration is not specified, so it cannot be definitively determined if the study meets the 24 hours to 6 months requirement.",yes,"The study appears to use general population holidaymakers, which meets the criterion of including participants from the general population (not exclusively those with diagnosed alcohol use disorder).",no,"The study focuses on holiday taking, not alcohol reduction, and therefore clearly fails this critical criterion.",yes,"The study is longitudinal with pre and post measurements, which meets the criterion of being a longitudinal study (not cross-sectional) with effects measured over more than 24 hours.",Exclude,"The study fundamentally fails to meet critical screening criteria related to alcohol reduction, as it focuses on holiday taking rather than alcohol consumption. Multiple key requirements are unmet, including intervention isolation and alcohol reduction measurement, rendering the paper unsuitable for inclusion in the systematic review. Significant uncertainties exist across several screening criteria, further supporting exclusion.",0.1
"An exploratory analysis of changes in mood, anxiety and craving from pre- to post-single sessions of exercise, over 12 weeks, among patients with alcohol dependence.","Richard A. Brown, M. Prince, Haruka Minami, A. Abrantes",10.1016/j.mhpa.2016.04.002,https://doi.org/10.1016/j.mhpa.2016.04.002,Mental Health and Physical Activity,47,2016,maybe,"The abstract does not explicitly state the participant age ranges, but since it refers to ""adults,"" it can be reasonably inferred that the participants were 18 or older, though this introduces some uncertainty.",no,"The study doesn't examine voluntary alcohol reduction. Instead, it focuses on exercise as a relapse prevention strategy for those already diagnosed with alcohol dependence. This fails to meet the criterion.",no,"The study measures mood, anxiety, and cravings, but does not specifically measure well-being or life satisfaction using validated instruments. This is a clear failure of this criterion.",yes,"The abstract mentions this is part of a ""randomized clinical trial,"" which meets this criterion.",maybe,"The study examines acute effects (pre-post exercise) and follows participants for 12 weeks, which falls within the 24-hour to 6-month range. However, the primary focus is on acute effects rather than the longer-term follow-up.",no,"The study specifically focuses on ""sedentary alcohol dependent adults,"" which fails this criterion as it excludes participants from the general population.",no,"The study focuses on exercise intervention, not alcohol reduction. While it's related to alcohol dependence, it's not studying alcohol reduction itself. This fails to meet the criterion.",yes,"The study is longitudinal over 12 weeks, meeting this criterion.",Exclude,"The study focuses on exercise interventions for alcohol-dependent adults, examining mood and craving changes, which fundamentally differs from the screening criteria's requirements for alcohol reduction and general population studies. Multiple critical screening criteria were not met, including population type, intervention focus, and outcome measurements, rendering the study non-compliant with the specified research parameters.",0.5
Evolution of Well-Being and Happiness After Increases in Consumption of Fruit and Vegetables.,"Redzo Mujcic, Andrew J Oswald",10.2105/AJPH.2016.303260,https://doi.org/10.2105/AJPH.2016.303260,American Journal of Public Health,229,2016,maybe,"The abstract mentions ""Australian adults"" but does not specify the exact age range. While this suggests participants were 18 or older, Elicit could not be completely certain without more information.",no,"The study examines changes in fruit and vegetable consumption, not alcohol reduction. This clearly fails this critical criterion.",maybe,"The study measures ""happiness and life satisfaction"" but does not explicitly state whether validated instruments were used. This creates some uncertainty.",yes,"The study is longitudinal with measurements at multiple time points (2007, 2009, 2013), which meets the criteria for a prospective cohort study.",no,"The study has follow-up periods of 2 years (24 months), which exceeds the maximum 6-month criterion.",yes,"The study uses ""randomly sampled Australian adults"" from the general population, meeting this criterion.",no,"The study focuses on fruit and vegetable consumption, not alcohol reduction. This clearly fails this critical criterion.",yes,"The study is longitudinal with measurements over multiple years, meeting this criterion.",Exclude,"The study focuses on fruit and vegetable consumption among Australian adults, examining its impact on well-being, which fundamentally differs from the required alcohol reduction intervention. Critical screening criteria related to alcohol reduction are not met, and the study's longitudinal design and follow-up duration fall outside the specified parameters. Consequently, the research does not align with the systematic review's core requirements.",0.1
Worsening of Health and a Cessation or Reduction in Alcohol Consumption to Special Occasion Drinking Across Three Decades of the Life Course,"L. Ng Fat, N. Cable, N. Shelton",10.1111/acer.12596,https://doi.org/10.1111/acer.12596,Alcoholism: Clinical and Experimental Research,43,2015,yes,"The study follows participants from age 23 to 50, so all participants are 18 or older.",yes,The study examines voluntary changes in alcohol consumption (reduction to special occasion drinking or cessation) with measurements at multiple time points.,maybe,"The study measures ""limiting longstanding illness"" (LLI) as the primary outcome, not well-being or life satisfaction. No validated instruments for well-being are mentioned.",yes,This is a prospective cohort study (National Child Development Study) following participants longitudinally.,yes,"The study has follow-up periods of approximately 10 years between measurements (23-33, 33-42, 42-50), which falls within the 24 hours to 6 months criterion.",yes,"The study uses a general population sample from Great Britain, not specifically those with alcohol use disorder.",yes,"The study examines alcohol reduction/consumption changes in isolation, analyzing it separately from other factors.",yes,"The study is clearly longitudinal, measuring effects over multiple decades.",Exclude,"A longitudinal cohort study examining alcohol consumption changes among adults from 23 to 50 years old, which meets most screening criteria including population age, intervention isolation, and study design. However, the study fails to measure well-being or life satisfaction using validated instruments, and the follow-up duration exceeds the specified 6-month timeframe. These limitations prevent the study from fully satisfying the screening requirements.",0.9
The Effect of Alcohol on Quality of Life,P. Allison,10.1016/b978-012564370-2/50026-x,https://doi.org/10.1016/b978-012564370-2/50026-x,-,0,2004,maybe,"The abstract does not explicitly state the participant age ranges, so it is unclear if all participants were aged 18 or older.",no,The abstract doesn't describe any studies examining voluntary alcohol reduction. It appears to focus on correlational studies of existing consumption patterns rather than reduction interventions.,maybe,"The abstract mentions that ""validated HRQOL instruments"" were used in some studies, particularly those with alcohol-dependent subjects. However, it also notes that general population studies used ""single item indicators"" which may not be validated instruments.",no,"The abstract explicitly states that most studies were ""cross-sectional"" and only mentions ""a few"" with ""prospective designs."" This fails to meet the criterion requiring RCT, quasi-experimental, or prospective cohort designs.",no,"The abstract doesn't mention any specific follow-up periods. Given that most studies were cross-sectional, this criterion is not met.",yes,"The abstract includes both general population studies and studies of alcohol-dependent individuals. While it meets this criterion by including general population studies, it's not exclusively focused on them.",no,The abstract discusses alcohol consumption effects but does not describe any intervention studies. It appears to be a review of observational studies rather than intervention studies.,no,"The abstract explicitly states that most studies were cross-sectional, failing to meet the requirement for longitudinal studies with effects measured over time.",Exclude,"The abstract describes cross-sectional studies examining alcohol consumption's effects on health-related quality of life, which fundamentally fails to meet multiple screening criteria including longitudinal design, intervention isolation, and follow-up duration. Most studies were observational, used single-item indicators, and included mixed population types, rendering them incompatible with the specified research requirements.",0.5
Sober Curiosity: A Qualitative Study Exploring Women’s Preparedness to Reduce Alcohol by Social Class,"Belinda Lunnay, E. Nicholls, A. Pennay, S. Maclean, Carlene J Wilson, S. Meyer, Kristen Foley, M. Warin, I. Olver, P. Ward",10.3390/ijerph192214788,https://doi.org/10.3390/ijerph192214788,International Journal of Environmental Research and Public Health,14,2022,yes,"The study focuses on midlife women aged 45-64, which meets the 18+ requirement.",no,"While the study examines attitudes toward alcohol reduction, it doesn't measure actual reduction in alcohol consumption with baseline and follow-up measurements. It focuses on ""sober curiosity"" and preparedness to reduce drinking.",no,"The abstract doesn't mention measuring well-being or life satisfaction using validated instruments. The study appears to be qualitative, focusing on perceptions and preparedness to reduce alcohol consumption.",no,"This is a qualitative interview study, which doesn't match any of the required study designs (RCT, quasi-experimental, or prospective cohort).",no,"As a qualitative interview study, there is no follow-up period mentioned. The study appears to be cross-sectional in nature.",yes,"The study includes women from the general population across different social classes, not specifically those with alcohol use disorder.",yes,"The study appears to focus specifically on alcohol reduction, without mention of other lifestyle interventions.",no,The study is not longitudinal and doesn't measure effects over time. It's a one-time qualitative assessment of perceptions.,Exclude,"A qualitative interview study exploring midlife women's perspectives on alcohol reduction fails to meet key screening criteria, including lack of validated outcome measurements, absence of a longitudinal design, and no actual measurement of alcohol consumption changes. The research focuses on perceptions and preparedness to reduce drinking across social classes, but does not align with the required methodological standards for inclusion.",0.5
