Title,Authors,DOI,DOI link,Venue,Citation count,Year,Intervention Type,"Reasoning for ""Intervention Type""",Life Satisfaction Measurement,"Reasoning for ""Life Satisfaction Measurement""",Outcome Measures,"Reasoning for ""Outcome Measures""",Population Age and Condition,"Reasoning for ""Population Age and Condition""",Primary Focus,"Reasoning for ""Primary Focus""",Study Design - Timeline,"Reasoning for ""Study Design - Timeline""",Study Design - Type,"Reasoning for ""Study Design - Type""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Quality of life as an outcome measure in alcoholism treatment research.,"D. Donovan, M. Mattson, R. Cisler, R. Longabaugh, A. Zweben",10.15288/JSAS.2005.S15.119,https://doi.org/10.15288/JSAS.2005.S15.119,"Journal of Studies on Alcohol, Supplement",233,2005,yes,"The paper discusses both abstinence and reduction in drinking, noting that ""marked reduction in drinking, even without complete abstinence, is associated with significant increases in QoL.""",no,"The paper focuses on quality of life (QoL) broadly, not specifically life satisfaction. While QoL measures often include life satisfaction components, the abstract doesn't explicitly mention life satisfaction measurement.",maybe,"The paper examines both drinking behavior and QoL outcomes, but doesn't specifically mention validated assessment tools for life satisfaction. It does mention ""twelve different QoL measures"" but their validation status isn't specified.",maybe,"The abstract mentions ""alcoholics"" and ""hazardous and harmful drinkers"" but doesn't specify age ranges. While it likely includes adults, this isn't explicitly stated.",maybe,"The review focuses on quality of life in relation to drinking behavior and alcohol use disorders, but not specifically on alcohol reduction interventions. It's broader in scope.",no,"The study is a literature review, not a primary longitudinal study with at least two measurement points. While it reviews longitudinal studies, it does not itself have multiple measurement points.",yes,"The study is a systematic review of literature, which meets the criterion for study design type. However, it's not clear if it follows systematic review methodology rigorously.",Exclude,"A systematic literature review examining quality of life in relation to alcohol use disorders, which partially meets screening criteria but lacks specificity in key areas such as life satisfaction measurement and population age. While the study discusses drinking behavior and quality of life outcomes, it does not fully align with the detailed screening requirements for a primary intervention study focused on alcohol reduction and life satisfaction.",1.3
Improved drinking behaviour improves quality of life: a follow-up in alcohol-dependent subjects 7 years after treatment.,"Ulrich Frischknecht, Thomas Sabo, K. Mann",10.1093/alcalc/agt038,https://doi.org/10.1093/alcalc/agt038,Alcohol and Alcoholism,27,2013,maybe,"The abstract mentions ""improved drinking"" but doesn't specify whether this was through reduction or complete abstinence. The focus on ""abstinence or improved drinking"" suggests both approaches were included.",no,"The study measures Quality of Life (QoL) using the MLDL questionnaire, but doesn't specifically mention life satisfaction as a distinct measure. QoL and life satisfaction are related but distinct concepts.",no,"While alcohol consumption is measured, life satisfaction specifically is not mentioned as an outcome measure. The study uses QoL as the primary outcome measure, which is different from life satisfaction.",yes,"The study focuses on alcohol-dependent patients, and while age isn't explicitly stated, the context suggests adult population. The baseline condition of alcohol dependence aligns with WHO guidelines.",maybe,"While alcohol consumption is a key focus, it's not entirely clear if reduction was the primary intervention being studied. The abstract mentions ""treatment"" but doesn't specify the intervention type.",yes,The study is clearly longitudinal with a 7-year follow-up period and at least two measurement points (baseline and 7-year follow-up).,yes,This appears to be a cohort study following alcohol-dependent patients over time.,Exclude,"A longitudinal cohort study of alcohol-dependent patients reveals complex relationships between drinking status and quality of life, but fails to meet specific screening criteria around life satisfaction measurement. While the research provides insights into long-term alcohol treatment outcomes, it does not precisely align with the required methodological and outcome specifications for systematic review inclusion.",1.3
Systematic review and meta-analyses of strategies targeting alcohol problems in emergency departments: interventions reduce alcohol-related injuries.,"A. Havard, A. Shakeshaft, R. Sanson-Fisher",10.1111/j.1360-0443.2007.02072.x,https://doi.org/10.1111/j.1360-0443.2007.02072.x,Addiction,248,2008,maybe,"The abstract doesn't specify whether the interventions focus on reduction versus abstinence. It broadly refers to ""interventions designed to reduce alcohol problems.""",no,The abstract does not mention measuring life satisfaction at all. It focuses on alcohol consumption and alcohol-related injuries as outcomes.,maybe,"While alcohol consumption is measured, life satisfaction is not mentioned. The study uses validated assessment tools for alcohol-related outcomes, but not for life satisfaction.",maybe,"While the study involves ED patients with alcohol problems, it doesn't specify age ranges or baseline consumption levels according to WHO guidelines.",maybe,"The study focuses on interventions for alcohol problems, but it's not clear if reduction is the primary focus versus other outcomes. The abstract mentions ""reducing alcohol problems"" but also focuses on injuries.",maybe,"The abstract describes a meta-analysis of multiple studies, but does not explicitly state if the included studies were longitudinal. However, since it measures ""subsequent"" alcohol consumption and injuries, it implies longitudinal measurement.",yes,"This is explicitly a meta-analysis, which meets this criterion.",Exclude,"A meta-analysis of emergency department interventions for alcohol problems fails to meet critical screening criteria, particularly the absence of life satisfaction measurement. While the study provides insights into alcohol-related interventions, it lacks specificity in population characteristics, intervention type, and does not address life satisfaction outcomes. The research primarily focuses on alcohol-related injuries rather than comprehensive alcohol reduction strategies.",0.9
Harm reduction—a systematic review on effects of alcohol reduction on physical and mental symptoms,"K. Charlet, A. Heinz",10.1111/adb.12414,https://doi.org/10.1111/adb.12414,Addiction Biology,138,2017,yes,"The study explicitly focuses on alcohol reduction, though it includes abstinence as ""one possible therapeutic aim,"" meeting this criterion.",maybe,"While the abstract mentions ""physical and mental quality of life"" and ""social functioning,"" it does not specifically mention life satisfaction measurement, creating significant uncertainty about whether this criterion is met.",maybe,"While alcohol consumption reduction is clearly measured, life satisfaction is not explicitly mentioned as a validated outcome measure. The abstract mentions quality of life and social functioning, but these are not necessarily the same as life satisfaction, creating uncertainty about whether this criterion is met.",maybe,"The abstract mentions ""harmful, hazardous or alcohol-dependent drinkers,"" which aligns with excessive alcohol consumption. However, it also mentions adolescents and young adults, which could include those under 18, creating uncertainty about the age range of the population.",yes,"The study clearly focuses on alcohol reduction as the primary intervention being studied, meeting this criterion.",maybe,"The abstract does not explicitly state whether the included studies were longitudinal with at least two measurement points, creating uncertainty about whether this criterion is met.",yes,"The study is explicitly described as a systematic review, which meets this criterion.",Include,"A systematic review examining alcohol reduction interventions demonstrates clear alignment with several screening criteria, including study type and primary intervention focus. However, significant uncertainties exist regarding longitudinal design, specific life satisfaction measurement, and precise population age range, which create potential challenges for comprehensive screening. The study's broad approach to alcohol reduction and associated health outcomes provides valuable insights, but may not fully meet all predefined screening requirements.",2.7
Behavioral Counseling Interventions in Primary Care To Reduce Risky/Harmful Alcohol Use by Adults: A Summary of the Evidence for the U.S. Preventive Services Task Force,"E. Whitlock, M. Polen, Carla A Green, T. Orleans, J. Klein",10.7326/0003-4819-140-7-200404060-00017,https://doi.org/10.7326/0003-4819-140-7-200404060-00017,Annals of Internal Medicine,764,2004,yes,"The study focuses on alcohol reduction rather than abstinence, specifically mentioning ""reducing overall alcohol consumption or adopting safer drinking patterns."" This meets the criterion.",no,"The abstract does not mention measuring life satisfaction. While it discusses various health and social outcomes, life satisfaction is not specifically mentioned as an outcome measure.",no,"While the study measures alcohol consumption reduction, it does not specifically measure life satisfaction. The outcomes discussed are more general health and social outcomes.",yes,"The study includes adults (mentions ""adult women"" and ""adult men"") and focuses on ""risky/harmful drinkers"" who exceed recommended consumption thresholds. This meets the criterion.",yes,"The study focuses on alcohol reduction interventions, specifically ""brief behavioral counseling interventions in primary care"" aimed at reducing alcohol consumption. This meets the criterion.",maybe,"The abstract does not explicitly state whether the included studies were longitudinal with at least two measurement points. While some included studies might be longitudinal, this is not clearly specified.",yes,"The study is a systematic review, which meets this criterion. The abstract explicitly states it's a ""systematic evidence review"" and includes analysis of randomized and non-randomized controlled clinical trials.",Exclude,"A systematic review of alcohol reduction interventions in primary care demonstrates strong alignment with several screening criteria, including appropriate population age, intervention type, and study design. However, critical limitations exist, particularly the absence of life satisfaction measurement and unclear longitudinal design, which prevent full compliance with the comprehensive screening requirements. The study's focus on alcohol consumption reduction and behavioral counseling provides valuable insights, but falls short of meeting all specified screening criteria.",1.3
How the risk of liver cancer changes after alcohol cessation: A review and meta-analysis of the current literature,"Gawain Heckley, Johan Jarl, B. Asamoah, Ulf G-Gerdtham",10.1186/1471-2407-11-446,https://doi.org/10.1186/1471-2407-11-446,BMC Cancer,95,2011,no,"The study focuses on complete cessation rather than reduction of alcohol consumption. The abstract specifically discusses ""drinking cessation"" and ""former drinkers"" rather than reduction.",no,The abstract makes no mention of measuring life satisfaction. The outcomes discussed are purely medical (liver cancer risk).,no,The study measures liver cancer risk reduction but does not measure life satisfaction. The outcomes are purely medical and don't include the required life satisfaction component.,maybe,"While the study likely includes adults (given the focus on liver cancer), the abstract doesn't explicitly specify age ranges. It does focus on drinkers and former drinkers, but doesn't specifically define ""excessive"" consumption according to WHO guidelines.",no,"The primary focus is on liver cancer risk reduction after drinking cessation, not alcohol reduction itself. While alcohol consumption is relevant, it's studied as a risk factor for liver cancer rather than as the primary intervention target.",maybe,"The paper is a systematic review and meta-analysis that looks at changes over time, but it's not clear if the individual studies included had at least two measurement points. The abstract mentions studying changes over time but doesn't specify the measurement structure of included studies.",yes,"This is explicitly a systematic review and meta-analysis, which meets this criterion.",Exclude,"The systematic review focuses on liver cancer risk reduction after drinking cessation, failing to meet key screening criteria related to alcohol reduction, life satisfaction measurement, and intervention type. While methodologically sound as a meta-analysis, the study does not align with the specified research parameters, particularly in its primary focus and outcome measures. Consequently, the paper does not qualify for inclusion based on the established screening criteria.",0.5
Drinking Risk Level Reductions Associated with Improvements in Physical Health and Quality of Life Among Individuals with Alcohol Use Disorder,"K. Witkiewitz, H. Kranzler, Kevin A. Hallgren, S. O'Malley, Daniel E. Falk, R. Litten, D. Hasin, K. Mann, R. Anton",10.1111/acer.13897,https://doi.org/10.1111/acer.13897,Alcoholism: Clinical and Experimental Research,96,2018,yes,"The study explicitly focuses on drinking reduction, not abstinence, and examines one- and two-level reductions in WHO drinking risk levels.",maybe,"The study measures ""quality of life"" but does not explicitly mention life satisfaction, creating some uncertainty about whether the specific life satisfaction measure was included.",maybe,"While alcohol consumption reduction is clearly measured using WHO risk levels, the quality of life measure is not specified as life satisfaction. The abstract mentions ""self-reported quality of life"" but does not detail the specific validated tools used.",yes,"The study focuses on individuals with alcohol dependence, and while age is not explicitly stated, the context suggests an adult population. The use of WHO drinking risk levels aligns with recognized standards.",yes,"The study focuses on alcohol reduction, specifically examining WHO drinking risk level reductions, which aligns with the primary focus on alcohol reduction.",yes,"The study is longitudinal with at least two measurement points, as explicitly stated in the abstract.",yes,"The study is a randomized placebo-controlled clinical trial (COMBINE study), which fits the criteria for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Include,"A longitudinal randomized clinical trial examining alcohol reduction in individuals with alcohol dependence, using WHO drinking risk levels as a measurement tool. The study meets most screening criteria, with clear focus on alcohol reduction and appropriate population, though some uncertainty exists regarding specific life satisfaction measurement. Multiple outcome measures including physical health and quality of life were assessed, providing a comprehensive approach to understanding alcohol reduction interventions.",4.1
Alcohol and the marriage effect.,"K. Leonard, J. Rothbard",10.15288/JSAS.1999.S13.139,https://doi.org/10.15288/JSAS.1999.S13.139,"Journal of Studies on Alcohol, Supplement",249,1999,no,"The paper doesn't study alcohol reduction as an intervention. Instead, it examines natural changes in drinking patterns associated with marriage and divorce.",no,The abstract does not mention measuring life satisfaction. It focuses on drinking patterns and marital quality.,no,The study doesn't measure both alcohol consumption reduction and life satisfaction using validated tools. It appears to focus only on drinking patterns and marital transitions.,maybe,"While the study focuses on adults (married/divorced individuals), it doesn't specifically focus on those with baseline excessive alcohol consumption as defined by WHO guidelines.",no,"While alcohol consumption is discussed, the primary focus appears to be on the relationship between marriage/divorce and drinking patterns, rather than alcohol reduction as an intervention.",no,"The abstract does not explicitly state this is a longitudinal study with multiple measurement points. While it discusses transitions and changes over time, it appears to be a review of existing evidence rather than a primary longitudinal study.",maybe,"The abstract indicates this is a review article (""This article reviews evidence...""), but it's not explicitly stated whether it's systematic. It appears to be a narrative review.",Exclude,"The study fails to meet most screening criteria, particularly around intervention design, life satisfaction measurement, and specific population focus. While examining alcohol consumption patterns in relation to marriage and divorce, the research does not align with the required methodological and outcome specifications for the screening process.",0.5
Effects of alcohol consumption in spousal relationships on health-related quality of life and life satisfaction.,M. Livingston,10.15288/JSAD.2009.70.383,https://doi.org/10.15288/JSAD.2009.70.383,Journal of Studies on Alcohol and Drugs,28,2009,no,The study does not examine any intervention for alcohol reduction. It is an observational study of existing drinking patterns.,yes,"The study does measure life satisfaction explicitly, which meets this criterion.",no,"While the study measures both alcohol consumption and life satisfaction, it does not measure changes in these variables as outcomes of an intervention. The measurements are cross-sectional.",maybe,"While the study includes adults (couples), it does not specifically focus on individuals with baseline excessive alcohol consumption. It includes all drinking levels and even ex-drinkers.",no,"The study does not focus on alcohol reduction as the primary intervention being studied. Instead, it examines the effects of existing drinking patterns on household members.",no,"The study appears to be a cross-sectional survey with a single measurement point, rather than a longitudinal study with at least two measurement points.",no,"The study is described as a cross-sectional survey, which does not meet the criteria of being a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"The study fails to meet multiple critical screening criteria, including lacking a longitudinal design, not focusing on alcohol reduction interventions, and not specifically targeting individuals with excessive alcohol consumption. While the research measures life satisfaction and includes adult participants, it does not align with the systematic review's core requirements for intervention studies. The cross-sectional survey design and observational nature of the research fundamentally disqualify it from meeting the specified screening criteria.",0.5
Decreased alcohol consumption in outpatient drinkers is associated with improved quality of life and fewer alcohol-related consequences,"K. Kraemer, S. Maisto, J. Conigliaro, M. McNeil, A. Gordon, M. Kelley",10.1007/s11606-002-0045-2,https://doi.org/10.1007/s11606-002-0045-2,Journal of general internal medicine,39,2002,yes,The study focuses on alcohol reduction (30% decrease in drinks per month) rather than complete abstinence.,maybe,"The study uses the SF-36, which measures quality of life but may not specifically measure life satisfaction. The Mental Component Summary includes psychological well-being, but it's not explicitly stated whether life satisfaction is measured.",yes,The study measures both alcohol consumption reduction and quality of life using validated tools (SF-36).,maybe,"The study mentions ""drinkers"" in an outpatient setting, but it doesn't explicitly state the age range or baseline consumption levels according to WHO guidelines.",yes,"The study focuses on changes in alcohol consumption and their effects, with alcohol reduction being a key outcome measure.",yes,"The study has multiple measurement points (baseline, 6 months, and 12 months), indicating that it is a longitudinal study with at least two measurement points.",yes,"While not explicitly stated, the study appears to be a cohort study following subjects over time.",Include,"A longitudinal cohort study examining alcohol consumption reduction demonstrates clear measurement of alcohol-related outcomes and quality of life changes across multiple time points. While the study meets most screening criteria, key uncertainties exist regarding specific life satisfaction measurement and precise participant characteristics. The research provides insights into alcohol reduction interventions with validated assessment tools.",3.8
