Title,Authors,DOI,DOI link,Venue,Citation count,Year
Relationship between subjective well-being and healthy lifestyle behaviours in older adults: a longitudinal study,"Natalia Martín-María, F. F. Caballero, Darío Moreno-Agostino, B. Olaya, J. Haro, J. Ayuso-Mateos, M. Miret",10.1080/13607863.2018.1548567,https://doi.org/10.1080/13607863.2018.1548567,Aging & Mental Health,51,2018
Dietary Patterns as Modifiable Risk Factors for Depression: a Narrative Review.,"Dmitrii Gorbachev, E.Yu. Markina, O. Chigareva, Anna Gradinar, Natalia Borisova, Timur Syunyakov",-,-,Psychiatria Danubina,4,2023
Impact of gluten-free diet on quality of life in celiac patients.,"R. Borghini, M. Di Tola, E. Salvi, C. Isonne, M. Puzzono, M. Marino, G. Donato, A. Picarelli",-,-,Acta gastro-enterologica Belgica,2,2016
Combining Recent Nutritional Data with Prospective Cohorts to Quantify the Impact of Modern Dietary Patterns on Disability–Adjusted Life Years: A Feasibility Study,"Jean-Philippe Krieger, G. Pestoni, A. Frehner, C. Schader, D. Faeh, S. Rohrmann",10.3390/nu12030833,https://doi.org/10.3390/nu12030833,Nutrients,2,2020
Improving Diet Quality Is Associated with Decreased Inflammation: Findings from a Pilot Intervention in Postmenopausal Women with Obesity.,"K. Arnold, K. Weinhold, R. Andridge, Kylie M Johnson, T. Orchard",10.1016/j.jand.2018.05.014,https://doi.org/10.1016/j.jand.2018.05.014,Journal of the Academy of Nutrition and Dietetics,11,2018
Personalizing Nutrition Strategies: Bridging Research and Public Health,"V. Clemente-Suárez, Helia Carmen Peris-Ramos, L. Redondo-Flórez, Ana Isabel Beltrán-Velasco, Alexandra Martín-Rodríguez, Susana David-Fernandez, Rodrigo Yáñez-Sepúlveda, J. F. Tornero-Aguilera",10.3390/jpm14030305,https://doi.org/10.3390/jpm14030305,Journal of Personalized Medicine,13,2024
Papel de la alimentación saludable y no saludable en el nivel de bienestar subjetivo experimentado por adolescentes y adultos. Una revisión sistemática.,"Evelyn Yazmin Estrada Nava, Marcela Veytia López, Rosalinda Guadarrama Guadarrama, Marcela Pérez Rodríguez",10.46377/dilemas.v10i3.3641,https://doi.org/10.46377/dilemas.v10i3.3641,"Dilemas Contemporáneos: Educación, Política y Valores",0,2023
"Optimistic and pessimistic self-assessment of own diets is associated with age, self-rated health and weight status in Danish adults","M. R. Sørensen, J. Matthiessen, Lotte Holm, V. Knudsen, Elisabeth Wreford Andersen, I. Tetens",10.1016/j.appet.2017.03.014,https://doi.org/10.1016/j.appet.2017.03.014,Appetite,9,2017
Picky eating is associated with lower life satisfaction and elevated psychological distress and psychosocial impairment in Chinese pregnant women.,"Jinbo He, Xinyi Zhang, Wesley R. Barnhart, Shuqi Cui, Yutian Liu, Yumeng Zhao, Junyu Yin, Chuyi Tan",10.1002/eat.23993,https://doi.org/10.1002/eat.23993,International Journal of Eating Disorders,2,2023
The Apples of Academic Performance: Associations Between Dietary Patterns and Academic Performance in Australian Children.,"K. Pearce, R. Golley, L. Lewis, Leah Cassidy, T. Olds, C. Maher",10.1111/josh.12631,https://doi.org/10.1111/josh.12631,Journal of School Health,10,2018
Changes in diet quality during a 12 month weight loss randomised controlled trial,"Cinthya Wibisono, Y. Probst, E. Neale, L. Tapsell",10.1186/s40795-017-0157-z,https://doi.org/10.1186/s40795-017-0157-z,BMC Nutrition,10,2017
Relationship Between Adherence to the Mediterranean Diet and Health-Related Quality of Life and Life Satisfaction Among Older Adults,"Ana Zaragoza-Martí, R. Ferrer-Cascales, J. A. Hurtado-Sánchez, A. Laguna-Pérez, M. Cabañero‐Martínez",10.1007/s12603-017-0923-2,https://doi.org/10.1007/s12603-017-0923-2,"The Journal of Nutrition, Health & Aging",43,2018
Does reverse causality explain the relationship between diet and depression?,"F. Jacka, N. Cherbuin, K. Anstey, P. Butterworth",10.1016/j.jad.2015.01.007,https://doi.org/10.1016/j.jad.2015.01.007,Journal of Affective Disorders,144,2015
The association of diet quality with the mental health of students during their transition to university,"Solomis Solomou, Heather Robinson, Guillermo Perez-Algorta",10.1371/journal.pone.0312123,https://doi.org/10.1371/journal.pone.0312123,PLoS ONE,0,2024
The impact of dietary advice on edentulous adults' denture satisfaction and oral health-related quality of life 6 months after intervention.,"J. Ellis, A. Elfeky, P. Moynihan, C. Seal, R. Hyland, M. Thomason",10.1111/j.1600-0501.2009.01859.x,https://doi.org/10.1111/j.1600-0501.2009.01859.x,Clinical Oral Implants Research,35,2010
185 Associations between Diet and Sleep Health in the UK Biobank Study,"P. Hepsomali, J. Groeger",10.1093/SLEEP/ZSAB072.184,https://doi.org/10.1093/SLEEP/ZSAB072.184,-,1,2021
Nutrition and quality of life in older adults.,"Eleni Amarantos, Andrea Martínez, J. Dwyer",10.1093/GERONA/56.SUPPL_2.54,https://doi.org/10.1093/GERONA/56.SUPPL_2.54,"The journals of gerontology. Series A, Biological sciences and medical sciences",323,2001
