Title,Authors,DOI,DOI link,Venue,Citation count,Year
Diet and the risk of unipolar depression in adults: systematic review of cohort studies.,"C. Sanhueza, L. Ryan, D. Foxcroft",10.1111/j.1365-277X.2012.01283.x,https://doi.org/10.1111/j.1365-277X.2012.01283.x,Journal of human nutrition and dietetics (Print),147,2013
Dietary Pattern and Mental Health: Review of Literature,"A. Tarelho, M. Duarte, J. Melim, A. Batista, S. Almeida",10.1016/j.eurpsy.2016.01.1911,https://doi.org/10.1016/j.eurpsy.2016.01.1911,European psychiatry,5,2016
The effects of changes to the built environment on the mental health and well‐being of adults: Systematic review,"Theresa Hm Moore, Theresa Hm Moore, Joanna M Kesten, José A. López-López, S. Ijaz, A. McAleenan, Alison Richards, Selena Gray, Jelena Savović, Suzanne Audrey",10.1016/j.healthplace.2018.07.012,https://doi.org/10.1016/j.healthplace.2018.07.012,Health and Place,203,2018
Short-term effects of a Mediterranean-style dietary pattern on cognition and mental well-being: a systematic review of clinical trials,"Latife Esgunoglu, A. Jennings, E. S. Connole, K. Murphy, A. Minihane",10.1017/S0007114521002567,https://doi.org/10.1017/S0007114521002567,British Journal of Nutrition,9,2021
Does an inflammatory diet affect mental well-being in late childhood and mid-life? A cross-sectional study,"Kate Lycett, Disna J. Wijayawickrama, Mengjiao Liu, A. Grobler, D. Burgner, L. Baur, Richard S Liu, Katherine Lange, M. Wake, Jessica A. Kerr",10.1017/S0007114521001616,https://doi.org/10.1017/S0007114521001616,British Journal of Nutrition,1,2021
"The Big Three Health Behaviors and Mental Health and Well-Being Among Young Adults: A Cross-Sectional Investigation of Sleep, Exercise, and Diet","S. Wickham, Natasha A. Amarasekara, A. Bartonicek, Tamlin S. Conner",10.3389/fpsyg.2020.579205,https://doi.org/10.3389/fpsyg.2020.579205,Frontiers in Psychology,114,2020
"Changes over time in mental well-being, fruit and vegetable consumption and physical activity in a community-based lifestyle intervention: a before and after study.","Rebecca E. Johnson, Wendy Robertson, Marsha Towey, Sarah Stewart-Brown, Aileen Clarke",10.1016/j.puhe.2017.01.012,https://doi.org/10.1016/j.puhe.2017.01.012,Public Health,27,2017
A High Polyphenol Diet Improves Psychological Well-Being: The Polyphenol Intervention Trial (PPhIT),"M. Kontogianni, A. Vijayakumar, C. Rooney, R. Noad, K. Appleton, D. McCarthy, M. Donnelly, I. Young, M. McKinley, P. McKeown, J. Woodside",10.3390/nu12082445,https://doi.org/10.3390/nu12082445,Nutrients,36,2020
The potential role of fruit and vegetables in aspects of psychological well-being: a review of the literature and future directions,"C. Rooney, M. McKinley, J. Woodside",10.1017/S0029665113003388,https://doi.org/10.1017/S0029665113003388,Proceedings of the Nutrition Society,109,2013
Nutritional psychiatry: the present state of the evidence,"W. Marx, G. Moseley, M. Berk, F. Jacka",10.1017/S0029665117002026,https://doi.org/10.1017/S0029665117002026,Proceedings of the Nutrition Society,285,2017
The impact of whole-of-diet interventions on depression and anxiety: a systematic review of randomised controlled trials,"Rachelle S. Opie, A. O'Neil, C. Itsiopoulos, F. Jacka",10.1017/S1368980014002614,https://doi.org/10.1017/S1368980014002614,Public Health Nutrition,195,2015
Fruit and Vegetable Intake and Mental Health in Adults: A Systematic Review,"D. Głąbska, D. Guzek, B. Groele, K. Gutkowska",10.3390/nu12010115,https://doi.org/10.3390/nu12010115,Nutrients,292,2020
Nutrition and mental health: bidirectional associations and multidimensional measures,J. C. van der Pols,10.1017/S1368980017003974,https://doi.org/10.1017/S1368980017003974,Public Health Nutrition,18,2018
