Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Dietary Change,"Reasoning for ""Dietary Change""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Medical Conditions,"Reasoning for ""Medical Conditions""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Temporal Design,"Reasoning for ""Temporal Design""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Relationship between subjective well-being and healthy lifestyle behaviours in older adults: a longitudinal study,"Natalia Martín-María, F. F. Caballero, Darío Moreno-Agostino, B. Olaya, J. Haro, J. Ayuso-Mateos, M. Miret",10.1080/13607863.2018.1548567,https://doi.org/10.1080/13607863.2018.1548567,Aging & Mental Health,51,2018,yes,"The study population is 50+ years old, clearly meeting the adult population requirement.",no,"The abstract does not indicate that participants transitioned from a poor to an improved diet. While dietary behaviors are measured, there's no indication of dietary change over time.",yes,The study includes life satisfaction (Cantril Self-Anchoring Striving Scale) and affect measures as primary outcomes.,yes,"This is a prospective cohort study with two time points, meeting the longitudinal requirement.",yes,"The study had a follow-up period from 2011-12 to 2014-15 (approximately 3 years), which clearly exceeds the 4-week minimum.",yes,"The study was conducted in a general population of adults aged 50+ in Spain, not focusing on specific medical conditions.",yes,"This is not an intervention study, so this criterion is not applicable.",yes,"The study is prospective with two time points, making it longitudinal rather than cross-sectional.",Exclude,"A prospective cohort study of adults aged 50+ in Spain examined relationships between subjective well-being and lifestyle behaviors, meeting most screening criteria. However, the study did not demonstrate a transition from poor to improved diet, which represents a critical limitation for inclusion. The research primarily explored how well-being correlates with existing dietary behaviors rather than tracking dietary change over time.",0.9
Dietary Patterns as Modifiable Risk Factors for Depression: a Narrative Review.,"Dmitrii Gorbachev, E.Yu. Markina, O. Chigareva, Anna Gradinar, Natalia Borisova, Timur Syunyakov",-,-,Psychiatria Danubina,4,2023,maybe,"The abstract does not specify the age range of participants, so the adult population criterion is unclear.",maybe,"While the abstract discusses healthy vs. unhealthy diets and mentions ""improvement of diet quality,"" it is not clear if the studies specifically examined dietary transitions, so the dietary change criterion is only partially met.",no,"The primary outcomes appear to be depression and anxiety symptoms, not life satisfaction or wellbeing, so the outcome measures criterion is not met.",yes,"This is a review of meta-analyses, which meets the systematic review criterion for study design.",maybe,"The abstract does not specify the follow-up durations for the included studies, so the follow-up duration is unclear.",maybe,"The abstract mentions both clinical and non-clinical populations, with a focus on non-clinical populations, so the medical conditions criterion is only partially met.",yes,"The studies appear to focus specifically on dietary patterns and their effects on depression/anxiety, so the intervention isolation criterion is met.",maybe,"The abstract mentions that both cross-sectional and longitudinal studies were included, but does not specify the proportion of each, so the temporal design is only partially met.",Exclude,"The systematic review of meta-analyses on dietary patterns and depression reveals significant methodological uncertainties across multiple screening criteria, including unclear follow-up duration, mixed population types, and primary outcomes that do not align with life satisfaction measures. While the study provides insights into dietary influences on mental health, it fails to definitively meet several key screening requirements, particularly around outcome measurement and population characteristics.",1.3
Impact of gluten-free diet on quality of life in celiac patients.,"R. Borghini, M. Di Tola, E. Salvi, C. Isonne, M. Puzzono, M. Marino, G. Donato, A. Picarelli",-,-,Acta gastro-enterologica Belgica,2,2016,yes,"The abstract explicitly states these are ""adult CD patients.""",yes,The study examines participants transitioning from a gluten-containing diet to a gluten-free diet (GFD).,yes,The study includes quantitative measures of well-being (PGWBI) and depression (BDI) as primary outcomes.,yes,"While not explicitly stated as an RCT, it appears to be a longitudinal cohort study with control group.",yes,"The study includes groups with 6-12 months and >12 months follow-up, exceeding the 4-week minimum requirement.",no,"The study focuses specifically on celiac disease patients, which violates the requirement for a general population study.",yes,"The dietary change (GFD) is the primary intervention being studied, with clear isolation of its effects.",yes,"The study design is longitudinal, comparing different time points of dietary intervention.",Exclude,"A longitudinal study of celiac disease patients examining dietary changes and psychological outcomes meets most screening criteria, including follow-up duration, temporal design, and quantitative outcome measures. However, the study's focus on a specific medical condition (celiac disease) disqualifies it from inclusion in a general population review, despite its methodological rigor and comprehensive analysis of dietary intervention effects.",0.9
Combining Recent Nutritional Data with Prospective Cohorts to Quantify the Impact of Modern Dietary Patterns on Disability–Adjusted Life Years: A Feasibility Study,"Jean-Philippe Krieger, G. Pestoni, A. Frehner, C. Schader, D. Faeh, S. Rohrmann",10.3390/nu12030833,https://doi.org/10.3390/nu12030833,Nutrients,2,2020,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older.",no,The study examined different dietary patterns but did not specifically look at transitions from poor to improved diets. It compared different dietary patterns but did not track dietary changes over time.,no,"The primary outcome measure was DALYs (disability-adjusted life years), which is a measure of disease burden and mortality, not life satisfaction or wellbeing as specified in the criteria.",yes,"The study design was a longitudinal cohort study, which meets the criterion.",yes,"The study had a mean follow-up time of 25.5 years, which exceeds the 4-week minimum requirement.",yes,"The study appears to be conducted in a general population, examining noncommunicable diseases broadly rather than focusing on specific conditions.",no,-,yes,"The study design was a longitudinal cohort study, not a cross-sectional study.",Exclude,"A longitudinal cohort study examining dietary patterns and disability-adjusted life years fails to meet key screening criteria, specifically lacking evidence of dietary transitions and quantitative measures of life satisfaction. While demonstrating a robust long-term follow-up design, the research does not align with the required focus on dietary change and wellbeing outcomes.",0.9
Improving Diet Quality Is Associated with Decreased Inflammation: Findings from a Pilot Intervention in Postmenopausal Women with Obesity.,"K. Arnold, K. Weinhold, R. Andridge, Kylie M Johnson, T. Orchard",10.1016/j.jand.2018.05.014,https://doi.org/10.1016/j.jand.2018.05.014,Journal of the Academy of Nutrition and Dietetics,11,2018,yes,"The study specifically focused on postmenopausal women, who are by definition adults.",yes,"The study explicitly examined participants transitioning to an improved diet, targeting ""lower consumption of added sugars and increased fiber and fatty fish.""",no,"The primary outcomes were inflammatory markers (TNFαR-2, IL-6, hsCRP) and dietary measures. There is no mention of life satisfaction or wellbeing measures.",yes,This was a longitudinal pilot intervention study with pre-post measurements and follow-up.,yes,"The study had a 12-week intervention period with a 24-week follow-up, exceeding the 4-week minimum requirement.",yes,"The study focused on postmenopausal women with BMI >30, but this is not a specific medical condition or eating disorder - it's a general population characteristic.",yes,"The dietary intervention was the primary focus, and its effects were analyzed separately.",yes,"The study used a pre- and post-test design with follow-up, not a cross-sectional design.",Exclude,"A longitudinal dietary intervention study on postmenopausal women with high BMI demonstrated a comprehensive approach to examining dietary changes and inflammatory markers. While meeting most screening criteria, the study critically failed to include life satisfaction or wellbeing measures as primary outcomes. The research design and population characteristics were robust, but the absence of key outcome measures prevents full alignment with the screening requirements.",0.5
Personalizing Nutrition Strategies: Bridging Research and Public Health,"V. Clemente-Suárez, Helia Carmen Peris-Ramos, L. Redondo-Flórez, Ana Isabel Beltrán-Velasco, Alexandra Martín-Rodríguez, Susana David-Fernandez, Rodrigo Yáñez-Sepúlveda, J. F. Tornero-Aguilera",10.3390/jpm14030305,https://doi.org/10.3390/jpm14030305,Journal of Personalized Medicine,13,2024,maybe,"No specific age range is mentioned, so the adult population criterion is unclear.",no,"While the abstract discusses dietary patterns and their effects, it does not specifically examine transitions from poor to improved diets. The paper is more of a general review of dietary patterns and health outcomes, so the dietary change criterion is not met.",no,"While ""well-being"" is mentioned, it is not clear if quantitative measures of life satisfaction were included. The focus seems to be on general health outcomes rather than specific wellbeing measures, so the outcome measures criterion is not met.",maybe,"This appears to be a literature review, and while it is unclear if this is a systematic review with proper methodology, the study design is partially met.",no,"The abstract does not mention any specific follow-up period, and the paper appears to be a review of literature rather than a primary study, so the follow-up duration is unclear and not met.",yes,"The paper appears to focus on general population health and discusses various health outcomes but not specific medical conditions, so the medical conditions criterion is met.",no,"No specific interventions are described, and this is a general review rather than an intervention study, so the intervention isolation criterion is not applicable.",maybe,"The abstract suggests this is a literature review, and no specific study design is mentioned, so the temporal design is unclear.",Exclude,"The abstract appears to be a narrative literature review that lacks specific details about follow-up duration, dietary transitions, and quantitative wellbeing measures. Multiple screening criteria remain unmet or unclear, including intervention design, population characteristics, and outcome measurement. The paper seems more focused on general dietary patterns and health outcomes rather than meeting the precise methodological requirements.",0.5
Papel de la alimentación saludable y no saludable en el nivel de bienestar subjetivo experimentado por adolescentes y adultos. Una revisión sistemática.,"Evelyn Yazmin Estrada Nava, Marcela Veytia López, Rosalinda Guadarrama Guadarrama, Marcela Pérez Rodríguez",10.46377/dilemas.v10i3.3641,https://doi.org/10.46377/dilemas.v10i3.3641,"Dilemas Contemporáneos: Educación, Política y Valores",0,2023,maybe,"The study includes both adolescents and adults, which means it does not fully meet the criterion of including only adults 18 years or older.",maybe,"The review examines both healthy and unhealthy eating patterns, but it is not clear if it specifically looks at transitions between these states.",yes,"The study specifically focuses on ""bienestar subjetivo"" (subjective wellbeing) as an outcome measure, which meets the criterion for including quantitative measures of life satisfaction or wellbeing as primary outcomes.",yes,"The study is explicitly described as a systematic review using PRISMA methodology, which meets the criterion for a longitudinal study design.",maybe,"The abstract does not mention any specific follow-up duration, so it is unclear whether the included studies had a follow-up period of at least 4 weeks.",yes,"The study appears to focus on the general population (adolescents and adults) rather than specific medical conditions, which meets the criterion for being conducted in a general population.",maybe,"The abstract does not provide information about whether dietary changes were analyzed in isolation from other interventions, so it is unclear whether this criterion is met.",maybe,"The abstract does not provide information about the temporal nature of the included studies, so it is unclear whether the study design was something other than cross-sectional.",Exclude,"A systematic review examining healthy and unhealthy eating patterns across adolescents and adults reveals potential connections to subjective wellbeing. While the study meets several key screening criteria like focusing on general population and using quantitative outcome measures, significant uncertainties exist regarding follow-up duration, temporal design, and intervention isolation. The inclusion of adolescents partially compromises the adult-only population requirement.",2.5
"Optimistic and pessimistic self-assessment of own diets is associated with age, self-rated health and weight status in Danish adults","M. R. Sørensen, J. Matthiessen, Lotte Holm, V. Knudsen, Elisabeth Wreford Andersen, I. Tetens",10.1016/j.appet.2017.03.014,https://doi.org/10.1016/j.appet.2017.03.014,Appetite,9,2017,yes,"The study includes adults aged 18-75 years, and therefore meets the criterion of having an adult population (≥18 years).",no,"The study examines current diet quality and self-assessment, but does not study dietary transitions or changes over time. Therefore, the study does not meet the criterion of examining participants transitioning from a poor/unhealthy diet to an improved diet.",no,"The primary outcomes are diet quality and self-assessment, and there is no mention of life satisfaction or wellbeing measures. Therefore, the study does not meet the criterion of including quantitative measures of life satisfaction or wellbeing as primary outcomes.",no,"This is a cross-sectional survey study, not an RCT, cohort study, or systematic review. Therefore, the study does not meet the criterion of having a longitudinal study design.",no,"The study appears to be cross-sectional, using data from a survey, and no follow-up period is mentioned. Therefore, the study does not meet the criterion of having a follow-up duration of at least 4 weeks.",yes,"The study uses a random sample of Danish adults, and there is no focus on specific medical conditions. Therefore, the study meets the criterion of being conducted in a general population rather than focusing solely on specific medical conditions or eating disorders.",no,"No dietary intervention is described, and this is an observational study. Therefore, the criterion of intervention isolation is not applicable.",no,"The study is explicitly described as using survey data, and it appears to be a cross-sectional analysis. Therefore, the study does not meet the criterion of having a temporal design other than cross-sectional.",Exclude,"This cross-sectional survey of Danish adults fails to meet key screening criteria, including longitudinal design, dietary change examination, and life satisfaction outcome measures. Despite using a general adult population sample, the study lacks the methodological requirements for inclusion, primarily due to its static, observational nature and absence of intervention or temporal analysis.",0.1
Picky eating is associated with lower life satisfaction and elevated psychological distress and psychosocial impairment in Chinese pregnant women.,"Jinbo He, Xinyi Zhang, Wesley R. Barnhart, Shuqi Cui, Yutian Liu, Yumeng Zhao, Junyu Yin, Chuyi Tan",10.1002/eat.23993,https://doi.org/10.1002/eat.23993,International Journal of Eating Disorders,2,2023,yes,"The mean age of the participants is 29.95 years (SD=5.58), indicating an adult population, so the study meets this criterion.",no,"The study examines picky eating but does not look at dietary transitions or changes, so it does not meet the criterion of examining participants transitioning from a poor/unhealthy diet to an improved diet.",yes,"The study does include quantitative measures of life satisfaction and wellbeing as primary outcomes, so it meets this criterion.",no,"This is explicitly a cross-sectional study, so it does not meet the criterion of having a longitudinal study design (RCT, cohort study, or systematic review).",no,"The study appears to be cross-sectional, with no mention of a follow-up period, so it does not meet the criterion of having a follow-up duration of at least 4 weeks.",maybe,"The study focuses specifically on pregnant women, which is a specific population subset, so it only partially meets the criterion of being conducted in a general population rather than focusing solely on specific medical conditions or eating disorders.",no,"No intervention is described; this is an observational study, so the criterion of intervention isolation is not applicable.",no,"The abstract explicitly states that this is a cross-sectional study, so it does not meet the criterion of having a study design other than cross-sectional.",Exclude,"The study fails key screening criteria due to its cross-sectional design, lack of dietary transition examination, and absence of a follow-up period. While the research includes adult participants and measures life satisfaction, it does not meet the required longitudinal study design or demonstrate a dietary change intervention. The study's limitations are acknowledged by the authors, who recommend future longitudinal research.",0.5
The Apples of Academic Performance: Associations Between Dietary Patterns and Academic Performance in Australian Children.,"K. Pearce, R. Golley, L. Lewis, Leah Cassidy, T. Olds, C. Maher",10.1111/josh.12631,https://doi.org/10.1111/josh.12631,Journal of School Health,10,2018,no,"The participants are children aged 9-11 years, so the study does not meet the criterion of having all study participants 18 years or older.",no,"The study examines associations between existing dietary patterns, but does not look at dietary transitions or changes, so it does not meet the criterion of examining participants transitioning from a poor/unhealthy diet to an improved diet.",no,"The primary outcomes are academic performance measures (NAPLAN scores), and there is no mention of life satisfaction or wellbeing measures, so the study does not meet the criterion of including quantitative measures of life satisfaction or wellbeing as primary outcomes.",no,"The study has a cross-sectional design, so it does not meet the criterion of having a longitudinal study design (RCT, cohort study, or systematic review).",no,"The study is cross-sectional, with no follow-up period mentioned, so it does not meet the criterion of having a follow-up duration of at least 4 weeks.",yes,"The study was conducted in a general school population, so it meets the criterion of being conducted in a general population rather than focusing solely on specific medical conditions or eating disorders.",no,"No intervention is mentioned, and the study is purely observational, so the criterion of analyzing the effects of dietary change separately is not applicable.",no,"The study is explicitly stated as a ""cross-sectional study"", so it does not meet the criterion of having a study design other than cross-sectional.",Exclude,"This cross-sectional study of children's dietary patterns and academic performance fails multiple screening criteria, including the requirement for a longitudinal design, adult population, and life satisfaction outcomes. The research focuses on children aged 9-11 years and examines academic performance rather than wellbeing, rendering it ineligible for the systematic review based on the predefined screening requirements.",0.1
