Title,Authors,DOI,DOI link,Venue,Citation count,Year,Baseline Diet,"Reasoning for ""Baseline Diet""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Intervention Type,"Reasoning for ""Intervention Type""",Mental Health Status,"Reasoning for ""Mental Health Status""",Outcome Measures,"Reasoning for ""Outcome Measures""",Population Age,"Reasoning for ""Population Age""",Study Design,"Reasoning for ""Study Design""",Temporal Documentation,"Reasoning for ""Temporal Documentation""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Diet and the risk of unipolar depression in adults: systematic review of cohort studies.,"C. Sanhueza, L. Ryan, D. Foxcroft",10.1111/j.1365-277X.2012.01283.x,https://doi.org/10.1111/j.1365-277X.2012.01283.x,Journal of human nutrition and dietetics (Print),147,2013,maybe,The abstract does not mention assessment of baseline dietary patterns.,maybe,"The paper is a review examining associations between diet and depression, rather than an intervention study. The abstract does not discuss isolated dietary interventions.",yes,"The study examines whole dietary patterns, including various foods and nutrients (folate, omega-3, fruits, vegetables, etc.).",yes,The study appears to focus on general population risk of depression rather than those with existing severe mental illness.,maybe,"The study examines depression and depressive symptoms as outcomes, which are related to mental well-being, but it is not clear if life satisfaction is measured.",yes,The study explicitly includes adults (18-97 years).,yes,The paper reviews longitudinal studies with follow-up periods of 2-13 years.,yes,The abstract mentions follow-up periods ranging from 2 to 13 years.,Exclude,"The systematic review explores dietary associations with depression risk across adult populations, examining multiple nutrients and food groups over extended follow-up periods. While meeting several screening criteria related to population age, study design, and mental health status, the paper lacks clear evidence of isolated dietary interventions and comprehensive baseline diet assessments. The research provides insights into potential dietary influences on depression but does not fully satisfy all predefined screening requirements.",1.3
Dietary Pattern and Mental Health: Review of Literature,"A. Tarelho, M. Duarte, J. Melim, A. Batista, S. Almeida",10.1016/j.eurpsy.2016.01.1911,https://doi.org/10.1016/j.eurpsy.2016.01.1911,European psychiatry,5,2016,no,The abstract does not mention assessment of baseline dietary patterns.,maybe,"The reasoning is unclear whether the dietary intervention was studied independently of other major lifestyle interventions, as this is a review paper that looks at multiple studies and does not specify the isolation of the intervention.",yes,"The paper focuses on whole dietary patterns, specifically mentioning Mediterranean diet and ""healthy eating habits"" rather than single nutrients.",maybe,The abstract does not specify whether the studies focused on generally healthy participants or those with mental health conditions.,maybe,"The paper discusses mental health outcomes including depression and anxiety, but it is not clear if these were measured quantitatively as primary outcomes.",maybe,No specific mention of participant age ranges.,no,"This is a review paper, not a primary longitudinal study. While it includes RCTs in its analysis, it is not itself an RCT or cohort study.",no,"As a review paper, it does not report specific timeframes between dietary changes and outcomes.",Exclude,"The systematic review explores dietary patterns and mental health, but fails to meet several critical screening criteria including intervention isolation, baseline diet assessment, and temporal documentation. While the paper discusses whole dietary patterns and mental health outcomes, its review nature and lack of specificity prevent it from qualifying as a primary intervention study. Multiple screening criteria remain unclear or unmet, limiting its potential for inclusion.",0.5
The effects of changes to the built environment on the mental health and well‐being of adults: Systematic review,"Theresa Hm Moore, Theresa Hm Moore, Joanna M Kesten, José A. López-López, S. Ijaz, A. McAleenan, Alison Richards, Selena Gray, Jelena Savović, Suzanne Audrey",10.1016/j.healthplace.2018.07.012,https://doi.org/10.1016/j.healthplace.2018.07.012,Health and Place,203,2018,no,There is no mention of dietary patterns or baseline dietary assessment in the abstract.,no,"The paper focuses on built environment interventions, not dietary interventions, and the abstract makes no mention of dietary changes.",no,"The interventions studied are environmental changes (urban regeneration and green infrastructure), not dietary pattern improvements.",maybe,The abstract doesn't specify whether participants had pre-existing mental health conditions or were generally healthy.,maybe,"The study does include mental health and quality-of-life outcomes, which align with the criterion of measuring mental well-being. However, these are secondary to the main focus on built environment interventions.",maybe,The abstract doesn't mention participant age ranges.,yes,"The paper specifically focuses on randomized controlled trials and controlled before-and-after studies, which meets the longitudinal study requirement.",maybe,"While the abstract mentions ""controlled before-and-after studies,"" it doesn't specify the timeframes between interventions and outcomes.",Exclude,"The systematic review focuses on dietary interventions and mental health outcomes, but this abstract describes built environment interventions unrelated to dietary changes. Critical screening criteria related to dietary patterns, intervention type, and baseline diet are not met, rendering the study inappropriate for inclusion in the review. The fundamental mismatch between the study's focus and the review's requirements necessitates exclusion.",0.1
Short-term effects of a Mediterranean-style dietary pattern on cognition and mental well-being: a systematic review of clinical trials,"Latife Esgunoglu, A. Jennings, E. S. Connole, K. Murphy, A. Minihane",10.1017/S0007114521002567,https://doi.org/10.1017/S0007114521002567,British Journal of Nutrition,9,2021,maybe,The abstract does not mention whether baseline dietary patterns were assessed or confirmed as poor.,maybe,"The abstract does not explicitly state whether other lifestyle interventions were controlled for. However, since this is a systematic review of RCTs, there is a good chance the included studies controlled for confounding variables, but this is not confirmed.",yes,"The study examines a Mediterranean-style dietary pattern (MDP), which is a whole dietary pattern rather than single nutrient supplementation.",maybe,The abstract does not specify whether participants were generally healthy or had pre-existing mental health conditions.,yes,"The study explicitly focuses on ""cognition and overall mental well-being"" as primary outcomes, including specific measures like attention, alertness, and contentment.",maybe,The abstract does not mention participant age ranges.,yes,"The review specifically focuses on randomized controlled trials (RCTs), though the follow-up period (up to 10 days) is shorter than the required 2 weeks.",yes,The study specifically focuses on short-term effects (up to 10 days) and appears to document temporal relationships between intervention and outcomes.,Exclude,"A systematic review examining Mediterranean dietary pattern's short-term effects on cognitive and mental well-being presents promising initial findings, but lacks clarity on several critical screening criteria including baseline diet, participant mental health status, and age range. While the study demonstrates potential for dietary interventions to improve mental outcomes, significant methodological uncertainties exist regarding comprehensive screening requirements.",2.1
Does an inflammatory diet affect mental well-being in late childhood and mid-life? A cross-sectional study,"Kate Lycett, Disna J. Wijayawickrama, Mengjiao Liu, A. Grobler, D. Burgner, L. Baur, Richard S Liu, Katherine Lange, M. Wake, Jessica A. Kerr",10.1017/S0007114521001616,https://doi.org/10.1017/S0007114521001616,British Journal of Nutrition,1,2021,maybe,"While the study measures inflammatory diet patterns, it does not explicitly confirm poor dietary patterns at baseline.",maybe,"The reasoning is unclear whether the dietary intervention was studied independently of other major lifestyle interventions, as the study does not explicitly state whether other lifestyle interventions were controlled for.",yes,The study examines whole dietary patterns (inflammatory diet scores) rather than single nutrients.,yes,"The study appears to focus on general population mental well-being across the spectrum, not exclusively on those with severe mental illness.",yes,"The study includes quantitative measures of mental well-being, including ""psychosocial health, quality of life and life satisfaction surveys.""",no,"The study includes children aged 11-12 years, which fails to meet the criterion of only adult participants (≥18 years).",no,"This is a cross-sectional study, not a longitudinal study with follow-up. The abstract explicitly states it's ""cross-sectional population-based data.""",no,"This is a cross-sectional study, not a longitudinal study with documented timeframes between dietary changes and outcomes.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design, inclusion of children under 18, and lack of temporal documentation between dietary changes and outcomes. Despite examining relevant dietary patterns and mental well-being measures, the research does not align with the specified methodological requirements for longitudinal intervention studies. Critical limitations include the absence of a follow-up period and the inclusion of participants outside the adult age range.",0.5
"The Big Three Health Behaviors and Mental Health and Well-Being Among Young Adults: A Cross-Sectional Investigation of Sleep, Exercise, and Diet","S. Wickham, Natasha A. Amarasekara, A. Bartonicek, Tamlin S. Conner",10.3389/fpsyg.2020.579205,https://doi.org/10.3389/fpsyg.2020.579205,Frontiers in Psychology,114,2020,no,The study doesn't assess or confirm poor dietary patterns at baseline. It simply measures current dietary habits.,no,"This is not an intervention study at all, but rather a cross-sectional survey examining correlations between existing behaviors and mental health outcomes. Therefore, the dietary intervention is not studied independently of other major lifestyle interventions.",no,"This is not an intervention study. While it examines dietary patterns (fruit/vegetable consumption, fast food, etc.), it doesn't implement any dietary changes.",yes,"The study focuses on generally healthy young adults, not those with severe mental illness.",yes,The study includes quantitative measures of mental well-being (Flourishing Scale) and depressive symptoms (CES-D) as primary outcomes.,yes,"The study includes young adults aged 18-25, meeting the adult age requirement.",no,"This is a cross-sectional survey design, not a longitudinal study. There is no follow-up period.",no,"As a cross-sectional study, there is no temporal documentation of changes and outcomes. It only looks at correlations at a single time point.",Exclude,"This cross-sectional survey examining health behaviors and mental health fails to meet key screening criteria for an intervention study, particularly lacking a longitudinal design, temporal documentation, and isolated dietary intervention. While the research includes appropriate outcome measures and population age, its correlational nature disqualifies it from systematic review inclusion focused on dietary interventions and mental health outcomes.",0.5
"Changes over time in mental well-being, fruit and vegetable consumption and physical activity in a community-based lifestyle intervention: a before and after study.","Rebecca E. Johnson, Wendy Robertson, Marsha Towey, Sarah Stewart-Brown, Aileen Clarke",10.1016/j.puhe.2017.01.012,https://doi.org/10.1016/j.puhe.2017.01.012,Public Health,27,2017,maybe,"While the study measures fruit and vegetable consumption, it doesn't explicitly state whether poor dietary patterns were confirmed at baseline.",no,"The study explicitly describes a ""multi component intervention"" that includes both exercise and healthy eating education, indicating that the dietary intervention is not studied in isolation.",yes,"The intervention appears to focus on ""healthy eating education"" rather than single nutrient supplementation, suggesting a whole dietary pattern approach.",yes,"The study appears to focus on community participants in a general setting, with no mention of specific mental health conditions or eating disorders.",yes,"The study uses the Warwick-Edinburgh Mental Well-being Scale as a quantitative measure of mental well-being, which is clearly a primary outcome.",yes,"The abstract specifically mentions ""adult participants.""",maybe,"While the study is longitudinal with appropriate follow-up duration (12 weeks + 3 months), it's described as a ""before and after study"" rather than an RCT or cohort study, which may not meet the strict design requirements.",yes,The study clearly documents timeframes: 12-week intervention with immediate post-intervention and 3-month follow-up measurements.,Exclude,"A multi-component lifestyle intervention examining mental well-being through dietary and exercise changes presents challenges for isolating specific dietary effects. While the study demonstrates improvements in mental well-being and includes adult participants with comprehensive temporal documentation, the mixed intervention approach prevents clear attribution of outcomes to dietary changes alone. The research provides insights into lifestyle interventions but falls short of strict methodological requirements for dietary intervention studies.",1.3
A High Polyphenol Diet Improves Psychological Well-Being: The Polyphenol Intervention Trial (PPhIT),"M. Kontogianni, A. Vijayakumar, C. Rooney, R. Noad, K. Appleton, D. McCarthy, M. Donnelly, I. Young, M. McKinley, P. McKeown, J. Woodside",10.3390/nu12082445,https://doi.org/10.3390/nu12082445,Nutrients,36,2020,maybe,"While there is a washout period, the abstract does not explicitly confirm poor dietary patterns at baseline.",maybe,"The study focuses on a polyphenol diet intervention, but the participants are mildly hypertensive, which might introduce confounding factors. However, the abstract does not mention other lifestyle interventions, so the intervention appears to be studied independently.",maybe,"The intervention focuses on polyphenol content, which is a specific dietary component rather than a whole dietary pattern improvement. This is a significant limitation.",yes,"Participants appear to be generally healthy with mild hypertension, not those with severe mental illness.",yes,The study includes quantitative measures of mental well-being through validated tools (Beck Depression Inventory-II and 36-Item Short Form Survey).,yes,"Participants are aged 40-65 years, meeting the adult requirement.",yes,"This is a randomized controlled trial with 8-week follow-up (plus 4-week washout), exceeding the 2-week minimum requirement.",yes,The study clearly documents timeframes: 4-week washout period followed by 8-week intervention.,Include,"A polyphenol dietary intervention study on mildly hypertensive adults demonstrates promising mental health outcomes through validated psychological assessment tools. While meeting most screening criteria, the research has limitations in its narrow focus on a specific nutrient rather than comprehensive dietary pattern and unclear baseline dietary assessment. The study provides insights into potential dietary interventions for mental well-being, though with some methodological constraints.",3
The potential role of fruit and vegetables in aspects of psychological well-being: a review of the literature and future directions,"C. Rooney, M. McKinley, J. Woodside",10.1017/S0029665113003388,https://doi.org/10.1017/S0029665113003388,Proceedings of the Nutrition Society,109,2013,no,"As a review paper, it does not assess baseline dietary patterns of participants.",maybe,"The paper is a review paper rather than an intervention study, so it does not directly test an isolated dietary intervention.",yes,"The paper specifically focuses on whole foods (fruits and vegetables) rather than single nutrients, though it notes that some studies look at individual nutrients.",maybe,"The abstract mentions ""mental ill health"" but does not specify whether studies focus on healthy participants or those with mental illness.",maybe,"The paper focuses on ""psychological well-being"" as an outcome, but it is a review of existing literature rather than presenting primary quantitative measures.",maybe,No information about participant age ranges is provided in the abstract.,no,"This is a literature review rather than a longitudinal study. The abstract actually calls for future RCTs, indicating that current evidence is predominantly observational.",no,"As a review paper, it does not report specific timeframes between dietary changes and outcomes.",Exclude,"The systematic review fails to meet multiple screening criteria, primarily because it is a literature review rather than a primary research study with direct intervention data. Key limitations include the absence of specific temporal documentation, lack of clarity on participant characteristics, and the observational nature of the reviewed studies. The paper calls for future randomized controlled trials, indicating current methodological gaps in understanding the relationship between fruits, vegetables, and psychological well-being.",0.5
Nutritional psychiatry: the present state of the evidence,"W. Marx, G. Moseley, M. Berk, F. Jacka",10.1017/S0029665117002026,https://doi.org/10.1017/S0029665117002026,Proceedings of the Nutrition Society,285,2017,no,"The abstract does not mention any assessment or confirmation of poor dietary patterns at baseline, so the reasoning is not met.",maybe,"The abstract does not specify whether the dietary interventions were studied independently of other major lifestyle interventions, so the reasoning is unclear.",yes,"The paper focuses on dietary patterns and diet quality rather than single nutrient supplementation, so the reasoning is met.",no,"The abstract specifically focuses on populations with mental illness, including depression, anxiety, bipolar disorder, and schizophrenia, rather than generally healthy participants, so the reasoning is not met.",maybe,"While the abstract discusses mental health outcomes, it does not explicitly state whether quantitative measures of mental well-being or life satisfaction were used as primary outcomes, so the reasoning is only partially met.",maybe,"The abstract mentions ""multiple populations and age groups"" but does not specify whether participants were exclusively adults, so the reasoning is unclear.",maybe,"While the abstract mentions an intervention trial, it does not specify the duration of follow-up or whether it was an RCT or cohort study, so the reasoning is only partially met.",no,"The abstract does not provide any specific timeframes for the relationship between dietary changes and measured outcomes, so the reasoning is not met.",Exclude,"The abstract describes a review of nutritional psychiatry that primarily focuses on clinical populations with mental illness, which deviates from the screening criteria seeking studies on generally healthy participants. Multiple screening criteria remain unmet or unclear, including intervention isolation, baseline diet assessment, and specific temporal documentation of dietary interventions. The paper's comprehensive review nature and clinical population focus significantly reduce its alignment with the predefined screening requirements.",0.5
