Title,Authors,DOI,DOI link,Venue,Citation count,Year
Subjective wellbeing among university students & physical activity patterns,Dr. Ekta Bhambri Marwaha,10.22271/allresearch.2019.v5.i5d.11004,https://doi.org/10.22271/allresearch.2019.v5.i5d.11004,International Journal of Applied Research,0,2019
Subjective wellbeing of cyclists and physically inactive subjects.,"Vanja Lovretić, T. Benjak, Gorka Vuletić",-,-,-,13,2013
Life Satisfaction and Mood Assessment of Danish Nursing Home Residents' Participation in Cycling Without Age: A Pre/Post 16- to 20-Week Evaluation.,"Hannah Ahrensberg, Martin Eghøj, M. Rasmussen, Andreas Jørgensen, M. Toftager, C.B. Petersen",10.3928/00989134-20250505-03,https://doi.org/10.3928/00989134-20250505-03,Journal of Gerontological Nursing,0,2025
An examination of objectively-measured sedentary behavior and mental well-being in adults across week days and weekends,"A. Gibson, D. Muggeridge, A. Hughes, L. Kelly, A. Kirk",10.1371/journal.pone.0185143,https://doi.org/10.1371/journal.pone.0185143,PLoS ONE,50,2017
Relationship of meeting physical activity guidelines with quality-adjusted life-years.,"Kai Sun, Jing Song, L. Manheim, R. Chang, K. Kwoh, P. Semanik, C. Eaton, D. Dunlop",10.1016/j.semarthrit.2014.06.002,https://doi.org/10.1016/j.semarthrit.2014.06.002,Seminars in Arthritis & Rheumatism,23,2014
Exercise and well-being: a review of mental and physical health benefits associated with physical activity,"F. Penedo, Jason Dahn",10.1097/00001504-200503000-00013,https://doi.org/10.1097/00001504-200503000-00013,Current Opinion in Psychiatry,2733,2005
[Relationship between healthy lifestyle behaviours and subjective wellbeing: an european observational study.],"Ana María Mateos-Lardiés, P. López-García, D. Morillo, B. Olaya, B. Tobiasz–Adamczyk, S. Koskinen, M. Leonardi, Josep María Haro, S. Chatterji, J. Ayuso-Mateos, M. Cabello, M. Miret",-,-,Revista Española de Salud Pública,5,2022
Health related quality of life and physical activity in prison: a multicenter observational study in Italy,"A. Mannocci, D. Mipatrini, V. D’Egidio, J. Rizzo, S. Meggiolaro, A. Firenze, G. Boccia, O. E. Santangelo, P. Villari, G. La Torre, D. Masala",10.1093/eurpub/ckx183,https://doi.org/10.1093/eurpub/ckx183,European Journal of Public Health,36,2018
Taking up physical activity in later life and healthy ageing: the English longitudinal study of ageing,"M. Hamer, K. Lavoie, S. Bacon",10.1136/bjsports-2013-092993,https://doi.org/10.1136/bjsports-2013-092993,British Journal of Sports Medicine,330,2013
The relationship between intensity and duration of physical activity and subjective well-being.,"P. Wicker, B. Frick",10.1093/eurpub/ckv131,https://doi.org/10.1093/eurpub/ckv131,European Journal of Public Health,108,2015
Testing a self-determination theory-based process model of physical activity behavior change in rheumatoid arthritis: results of a randomized controlled trial,"S. Fenton, J. Veldhuijzen van Zanten, G. Metsios, P. Rouse, Chen-an Yu, N. Ntoumanis, G. Kitas, J. Duda",10.1093/tbm/ibaa022,https://doi.org/10.1093/tbm/ibaa022,Translational Behavioral Medicine,29,2020
