Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Activity Transition,"Reasoning for ""Activity Transition""",Population Activity Level,"Reasoning for ""Population Activity Level""",Intervention Type,"Reasoning for ""Intervention Type""",Intervention Duration,"Reasoning for ""Intervention Duration""",Intervention Frequency,"Reasoning for ""Intervention Frequency""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Subjective wellbeing among university students & physical activity patterns,Dr. Ekta Bhambri Marwaha,10.22271/allresearch.2019.v5.i5d.11004,https://doi.org/10.22271/allresearch.2019.v5.i5d.11004,International Journal of Applied Research,0,2019,yes,"The study focuses on college students, who are typically adults (18+). This meets the criterion for a population of adults aged 18 or older.",no,The study doesn't measure participants transitioning from sedentary to active lifestyles. It simply compares existing activity levels. This fails to meet the criterion for measuring baseline activity levels and examining participants transitioning from a sedentary to more active lifestyle.,yes,"The study includes both active and sedentary college students from the general population, not elite athletes. This meets the criterion for a population from the general or sedentary population.",no,This is not an intervention study - it's an observational study measuring existing physical activity levels using IPAQ. This fails to meet the criterion for examining a physical activity intervention.,no,No intervention duration is mentioned as this is not an intervention study. This fails to meet the criterion for an intervention duration of at least 4 weeks.,no,This is not an intervention study - it's an observational study comparing existing activity levels. It doesn't examine sustained behavior change. This fails to meet the criterion for examining sustained behavior change.,yes,"The study uses the Subjective Well-being scale (SUBI) by Nagpal & Sell (1985), which is a validated instrument measuring wellbeing. This meets the criterion for measuring life satisfaction, wellbeing, or quality of life using validated instruments.",no,"The study appears to be a cross-sectional observational study comparing active vs inactive students, not an interventional or longitudinal study. This fails to meet the criterion for an interventional or longitudinal observational study design.",Exclude,"A cross-sectional observational study examining physical activity and subjective well-being among college students, which fails to meet key screening criteria related to intervention design, behavior change, and sustained activity transitions. While the study uses validated instruments and includes an appropriate adult population, its fundamental research approach does not align with the required methodological standards for inclusion.",0.9
Subjective wellbeing of cyclists and physically inactive subjects.,"Vanja Lovretić, T. Benjak, Gorka Vuletić",-,-,-,13,2013,maybe,"The abstract doesn't explicitly state participant age ranges. While it's likely these are adults, we cannot be certain without more information.",no,"While the study compares active and inactive groups, it doesn't measure baseline activity levels or examine transitions from sedentary to active lifestyle. It's a cross-sectional comparison.",yes,The study explicitly includes inactive people and regular cyclists from the general population.,maybe,"The study examines physical activity (cycling), but as an observational study rather than an intervention.",no,The abstract doesn't specify an intervention duration as this isn't an intervention study. It looks at existing behavior patterns.,maybe,"The study examines regular cycling behavior (3+ times/week), suggesting sustained behavior rather than acute effects. However, this is observational rather than interventional.",yes,"The study measures quality of life using the Personal Wellbeing Index (PWI), which is a validated instrument.",no,"The study design was a cross-sectional comparison study, not an interventional or longitudinal observational study. This is a significant limitation as it doesn't examine changes over time or interventions.",Exclude,"A cross-sectional study comparing cyclists and inactive individuals reveals insights into quality of life, but fails to meet key screening criteria due to its non-interventional design and lack of longitudinal tracking. While the research examines physical activity and wellbeing using a validated instrument, it does not demonstrate sustained behavior change or intervention effects, limiting its alignment with the specified screening requirements.",0.9
Life Satisfaction and Mood Assessment of Danish Nursing Home Residents' Participation in Cycling Without Age: A Pre/Post 16- to 20-Week Evaluation.,"Hannah Ahrensberg, Martin Eghøj, M. Rasmussen, Andreas Jørgensen, M. Toftager, C.B. Petersen",10.3928/00989134-20250505-03,https://doi.org/10.3928/00989134-20250505-03,Journal of Gerontological Nursing,0,2025,yes,"The median age is 79.5 years, clearly meeting the adult population criterion.",maybe,"The abstract doesn't explicitly state baseline activity levels or whether participants were transitioning from sedentary to active. Given the nursing home setting, participants were likely sedentary, but this isn't explicitly confirmed.",yes,"The nursing home population would typically be considered sedentary or general population, not elite athletes.",yes,"The intervention involves physical activity through trishaw rides, which qualifies as a physical activity intervention.",yes,The intervention duration (16-20 weeks) clearly exceeds the minimum 4-week requirement.,yes,"The study examined sustained behavior change over 16-20 weeks, with multiple trishaw rides, indicating regular participation rather than acute effects.",yes,"The study measured life satisfaction using the Cantril Ladder, which is a validated instrument. However, the mood measurement tool (a 5-point smiley scale) may not be as robustly validated.",yes,"The study design was a quasi-experimental single-arm study, which meets the criterion for interventional or longitudinal observational design.",Exclude,"A quasi-experimental study of nursing home residents examined life satisfaction and mood through a 16-20 week trishaw intervention, meeting most screening criteria with robust methodology. The research focused on an adult population with a sustained physical activity intervention, using validated life satisfaction measures and demonstrating significant improvements in participant outcomes. While most criteria were clearly met, some uncertainty existed regarding explicit documentation of participants' baseline activity levels.",4.1
An examination of objectively-measured sedentary behavior and mental well-being in adults across week days and weekends,"A. Gibson, D. Muggeridge, A. Hughes, L. Kelly, A. Kirk",10.1371/journal.pone.0185143,https://doi.org/10.1371/journal.pone.0185143,PLoS ONE,50,2017,yes,"The study includes adults (age range 18-67), meeting this criterion.",no,The study examines current sitting time but does not measure transitions from sedentary to active lifestyles.,yes,"The study appears to include participants from the general population with varying activity levels, meeting this criterion.",no,"This is not an intervention study, so this criterion is not met.",no,"No intervention is present, so this criterion is not met.",no,"This is not an intervention study - it's an observational study examining existing behavior patterns, rather than testing the effects of a sustained behavior change intervention.",yes,The study uses validated instruments (HADS and SF12 Health Survey) to measure mental health and quality of life.,no,"The study appears to be a cross-sectional observational study, not interventional or longitudinal. It measures sitting time and mental health outcomes at a single time point, rather than examining the effects of an intervention over time.",Exclude,"This cross-sectional observational study fails to meet key screening criteria related to intervention design, behavior change, and longitudinal measurement. While the research uses validated instruments and includes an adult population, it lacks an intervention component and does not examine sustained activity transitions. The study primarily explores associations between sitting time and mental health outcomes rather than testing an intervention's impact.",0.5
Relationship of meeting physical activity guidelines with quality-adjusted life-years.,"Kai Sun, Jing Song, L. Manheim, R. Chang, K. Kwoh, P. Semanik, C. Eaton, D. Dunlop",10.1016/j.semarthrit.2014.06.002,https://doi.org/10.1016/j.semarthrit.2014.06.002,Seminars in Arthritis & Rheumatism,23,2014,yes,"The study focused on adults with or at risk for knee osteoarthritis, meeting the criterion for a population of adults aged 18 or older.",no,"While the study measured baseline activity levels and categorized participants by activity level, it did not specifically examine transitions from sedentary to active lifestyles, so it does not meet the criterion for measuring baseline activity levels and examining participants transitioning from a sedentary to more active lifestyle.",yes,"The study included participants across activity levels, including inactive and insufficiently active individuals, representing the general population, meeting the criterion for a population from the general or sedentary population.",no,"This is an observational study rather than an intervention study, so it does not meet the criterion for examining a physical activity intervention.",maybe,"As this is an observational study rather than an intervention study, the criterion for intervention duration is not directly applicable.",maybe,"The study examined sustained activity patterns but did not test an intervention, so the criterion for examining sustained behavior change is unclear.",yes,"The study used QALYs derived from the 12-item Short-Form Health Survey, which is a validated instrument for measuring health-related quality of life, meeting the criterion for measuring life satisfaction, wellbeing, or quality of life using validated instruments.",yes,"The study design was a prospective longitudinal observational study, which meets the criterion for an interventional or longitudinal observational study design.",Exclude,"This prospective observational study of adults with knee osteoarthritis examined physical activity levels and quality of life, but lacks key intervention characteristics required by the screening criteria. While measuring important health outcomes and including participants across activity levels, the research does not implement a physical activity intervention or track lifestyle transitions, which are critical screening requirements.",0.9
Exercise and well-being: a review of mental and physical health benefits associated with physical activity,"F. Penedo, Jason Dahn",10.1097/00001504-200503000-00013,https://doi.org/10.1097/00001504-200503000-00013,Current Opinion in Psychiatry,2733,2005,maybe,"The abstract mentions diverse populations including adolescents, middle-aged, and older adults. This partially meets the criterion, but includes populations under 18.",no,The abstract doesn't specifically address participants transitioning from sedentary to active lifestyles.,maybe,"The abstract suggests inclusion of general populations, though specific activity levels aren't detailed.",yes,"The paper does cover physical activity interventions, including exercise and physical activity programs.",no,No specific intervention duration is mentioned in the abstract.,no,"The abstract mentions ""regular physical activity"" and sustained benefits, but as a review paper, it's not directly studying intervention frequency.",maybe,"The paper does mention measuring quality of life and health-related quality of life (HRQOL), which are relevant outcomes. However, as a review, it's not directly measuring these outcomes.",no,"This is a review paper, not a primary research study. While it discusses various study types including RCTs and longitudinal studies, it is not itself an interventional or longitudinal observational study. This is a critical failure of a core criterion.",Exclude,"This review paper fails to meet key screening criteria, primarily because it is not a primary research study and includes populations under 18 years old. While discussing physical activity and health outcomes, the abstract lacks direct measurement of interventions, specific intervention durations, and clear documentation of activity transitions. The review's nature as a secondary research synthesis disqualifies it from meeting the required screening standards.",0.1
[Relationship between healthy lifestyle behaviours and subjective wellbeing: an european observational study.],"Ana María Mateos-Lardiés, P. López-García, D. Morillo, B. Olaya, B. Tobiasz–Adamczyk, S. Koskinen, M. Leonardi, Josep María Haro, S. Chatterji, J. Ayuso-Mateos, M. Cabello, M. Miret",-,-,Revista Española de Salud Pública,5,2022,maybe,"The abstract does not explicitly state the age range of participants, so it is uncertain whether all study participants were adults (aged 18 or older).",no,The study does not examine participants transitioning from sedentary to active lifestyles. It only measures current physical activity levels.,yes,The study appears to include participants from the general population across three countries.,no,This is not an intervention study - it examines associations between physical activity and well-being rather than testing a physical activity intervention.,no,"As this is not an intervention study, the intervention duration criterion is not applicable.",no,This is not an intervention study - it examines associations between lifestyle behaviors and well-being rather than testing sustained behavior change.,yes,"The study measures life satisfaction using the Cantril Self-Anchoring Striving Scale and well-being through positive and negative affect using the Day Reconstruction Method, which appear to be validated instruments.",no,"The study appears to be a cross-sectional observational study based on interviews in 2011-2012, rather than an interventional or longitudinal study design.",Exclude,"This cross-sectional study examining lifestyle behaviors and well-being fails to meet key screening criteria, particularly those related to intervention design, sustained behavior change, and activity transitions. While the research measures validated well-being outcomes and includes physical activity as a variable, it does not constitute an interventional or longitudinal study testing specific physical activity interventions. The study's observational nature and lack of intervention focus disqualify it from meeting the majority of the specified screening requirements.",0.5
Health related quality of life and physical activity in prison: a multicenter observational study in Italy,"A. Mannocci, D. Mipatrini, V. D’Egidio, J. Rizzo, S. Meggiolaro, A. Firenze, G. Boccia, O. E. Santangelo, P. Villari, G. La Torre, D. Masala",10.1093/eurpub/ckx183,https://doi.org/10.1093/eurpub/ckx183,European Journal of Public Health,36,2018,yes,"While not explicitly stated, prison inmates are typically adults (18+), so this likely meets the criterion.",no,The study measured current activity levels (MET) but did not examine transitions from sedentary to active lifestyle.,yes,"The study examined the general prison population, not elite athletes.",no,"This was not an intervention study, but rather an observational study measuring existing physical activity levels.",no,"No intervention was conducted, so this criterion is not applicable.",no,"This was not an intervention study, but rather an observational study measuring existing activity levels, so it did not examine sustained behavior change.",yes,"The study used the SF12 (Short Form with 12 items) to measure Quality of Life, which is a validated instrument.",no,"The study design was a ""multicentric cross-sectional study"", which is not an interventional or longitudinal observational study as required by the criterion.",Exclude,"A cross-sectional observational study examining physical activity and quality of life among prison inmates fails to meet key screening criteria, particularly those related to intervention design and sustained behavior change. While the study uses validated instruments and focuses on an adult population, it lacks the longitudinal or interventional approach required by the screening protocol. The research provides insights into physical activity and well-being but does not align with the specified methodological requirements.",0.5
Taking up physical activity in later life and healthy ageing: the English longitudinal study of ageing,"M. Hamer, K. Lavoie, S. Bacon",10.1136/bjsports-2013-092993,https://doi.org/10.1136/bjsports-2013-092993,British Journal of Sports Medicine,330,2013,yes,"The study population was older adults (mean age 63.7±8.9 years), all clearly over 18.",yes,"The study explicitly examined participants transitioning from inactive to active states, with clear analysis of those who ""became active"" versus those who ""remained inactive.""",yes,"The study included participants from the general population, with a mix of active and inactive individuals at baseline.",maybe,"While the study examined physical activity, it's not clear if this was an intervention study or purely observational, as the abstract doesn't mention implementing any specific physical activity program.",yes,"The study followed participants for 8 years, which exceeds the 4-week minimum intervention duration requirement.",yes,"The study examined sustained behavior change, looking at activity patterns over 8 years and specifically analyzing those who ""became active"" or ""remained active.""",maybe,"The study measured ""healthy ageing"" which includes physical and cognitive impairment, but it's unclear if validated instruments were used to measure life satisfaction, wellbeing, or quality of life.",yes,"The study design was a longitudinal observational study with 8 years of follow-up, which meets the criteria for an interventional or longitudinal observational study design.",Exclude,"A longitudinal study of older adults examining physical activity's impact on healthy aging, with participants transitioning from sedentary to active lifestyles over an 8-year period. The research meets most screening criteria, including appropriate population age, activity transition, and intervention duration, though there is some uncertainty regarding the specific outcome measurement instruments and intervention type.",3.8
The relationship between intensity and duration of physical activity and subjective well-being.,"P. Wicker, B. Frick",10.1093/eurpub/ckv131,https://doi.org/10.1093/eurpub/ckv131,European Journal of Public Health,108,2015,maybe,"The abstract doesn't explicitly state the age range of participants. While it's likely these are adults given the European population survey context, this isn't explicitly confirmed.",no,The study examines current activity levels but does not measure baseline activity levels or transitions from sedentary to active lifestyles.,yes,"The study examines the general population across 28 European countries, which likely includes both sedentary and active individuals. This appears to meet the criterion.",no,This is not an intervention study but rather an observational study examining physical activity patterns.,no,"As this is not an intervention study, it doesn't have an intervention duration.",no,"This is not an intervention study, but rather an observational study examining existing physical activity patterns. It doesn't examine sustained behavior change.",maybe,"The study measures subjective well-being (SWB) and life satisfaction, which aligns with the criterion of measuring life satisfaction/wellbeing. However, the abstract doesn't explicitly state whether validated instruments were used.",no,"The study appears to be a cross-sectional survey analysis using regression models, which does not meet the criterion of being interventional or longitudinal observational, as it analyzes data from a single time point.",Exclude,"This cross-sectional survey study fails to meet key screening criteria, particularly around intervention design, behavior change, and longitudinal measurement. While examining physical activity and subjective well-being across European populations, the research lacks the required elements of an interventional study with sustained behavior change and validated outcome instruments. The observational nature of the research fundamentally disqualifies it from meeting the specified screening requirements.",0.5
