Title,Authors,DOI,DOI link,Venue,Citation count,Year,Baseline Activity,"Reasoning for ""Baseline Activity""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Intervention Type,"Reasoning for ""Intervention Type""",Outcome Measurement,"Reasoning for ""Outcome Measurement""",Population Age,"Reasoning for ""Population Age""",Population Specificity,"Reasoning for ""Population Specificity""",Study Design,"Reasoning for ""Study Design""",Study Duration,"Reasoning for ""Study Duration""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Dose-response issues concerning physical activity and health: an evidence-based symposium.,"Y. ANTERO KESANIEMI (Chair), E. Danforth, Michael D. Jensen, P. Kopelman, Pierre LEF??BVRE, BRUCE A. Reeder",10.1097/00005768-200106001-00003,https://doi.org/10.1097/00005768-200106001-00003,Medicine & Science in Sports & Exercise,923,2001,no,"The paper does not mention baseline physical activity levels, and instead focuses on general physical activity measurement and dose-response relationships. Therefore, the study fails to meet the criterion of having participants with baseline low physical activity levels.",no,"This appears to be a review/symposium paper rather than an intervention study, and it does not describe specific interventions. Therefore, the study fails to meet the criterion of being able to isolate the effects of physical activity from other interventions.",no,"This is not an intervention study, and it focuses on reviewing physical activity measurement methods and dose-response relationships. Therefore, the study fails to meet the criterion of examining an intervention involving increased physical activity with measured baseline activity levels.",no,"The abstract does not mention measuring life satisfaction at all, and instead focuses on general health outcomes and mortality. Therefore, the study does not meet the criterion of measuring life satisfaction using validated assessment tools.",maybe,"No specific age groups are mentioned, and the paper appears to be about the general population, but the age range is not specified. Therefore, it is unclear whether the study meets the criterion of including only adult participants (aged 18 or older).",yes,"The abstract discusses physical activity in general populations, with no mention of specific clinical populations or elite athletes. Therefore, the study meets the criterion of focusing on the general population rather than exclusively on specific clinical populations or elite athletes.",no,"This appears to be a symposium report/review paper, and not a randomized controlled trial or prospective cohort study. Therefore, the study fails to meet the criterion of being either a randomized controlled trial or a prospective cohort study.",no,"This is not an intervention study, and no follow-up period is mentioned. Therefore, the study fails to meet the criterion of having a minimum follow-up period of 4 weeks or longer.",Exclude,"This symposium report fails to meet multiple critical screening criteria, including lack of life satisfaction measurement, absence of a specific intervention study design, and no clear baseline activity levels or follow-up period. The paper primarily focuses on physical activity measurement methods and dose-response relationships, rendering it unsuitable for the systematic review's specific requirements. Consequently, the document does not align with the established screening criteria for inclusion.",0.1
Changes in Physical Activity After Total Hip or Knee Arthroplasty: A Systematic Review and Meta‐Analysis of Six‐ and Twelve‐Month Outcomes,"Thomas Hammett, Aram Simonian, M. Austin, Robert Butler, K. Allen, Leila Ledbetter, A. Goode",10.1002/acr.23415,https://doi.org/10.1002/acr.23415,Arthritis care & research,83,2018,maybe,No information is provided about the baseline physical activity levels of the study participants.,no,"The study appears to examine changes in physical activity following surgery, rather than an isolated physical activity intervention.",no,"This is not an intervention study but rather an observational study of changes following surgery, and does not examine an intervention involving increased physical activity.",maybe,"The abstract mentions ""quality of life"" but does not specify if validated assessment tools were used to measure life satisfaction. There is uncertainty about whether life satisfaction was specifically measured.",maybe,"No explicit information is provided about age restrictions, but given the context of joint replacement, the participants are likely adults, though this is not confirmed.",no,"The study focuses on patients undergoing total knee or hip joint replacement, which is a specific clinical population rather than the general population.",no,"This is a systematic review and meta-analysis, not a primary randomized controlled trial or prospective cohort study.",maybe,No information is provided about the follow-up period of the study.,Exclude,"The systematic review focuses on a specific clinical population of joint replacement patients, which deviates from the general population requirement. Multiple screening criteria are not met, including intervention type, study design, and population specificity. The abstract lacks sufficient detail to confirm compliance with several key screening requirements.",0.1
How much physical activity is good for health?,"S. Blair, Harold W Kohl, N. Gordon, R. Paffenbarger",10.1146/ANNUREV.PU.13.050192.000531,https://doi.org/10.1146/ANNUREV.PU.13.050192.000531,Annual Review of Public Health,557,1992,maybe,"The paper discusses sedentary populations but does not specify baseline activity levels in terms of minutes per week. While it mentions ""sedentary habits,"" it does not provide quantitative baseline measurements.",no,"This appears to be a review paper rather than an intervention study, and no specific intervention is described.",no,"No specific intervention is described, as this is a review paper discussing general physical activity benefits.",no,"The abstract does not mention life satisfaction or any validated assessment tools for measuring it. The focus is on general health benefits and physical fitness, rather than life satisfaction.",maybe,"The paper mentions ""adults"" and references ""later years of life,"" suggesting an adult population.",yes,"The study appears to focus on the general population, particularly sedentary adults, and does not mention specific clinical populations or elite athletes.",no,"This appears to be a review paper, not an RCT or prospective cohort study.",no,"No specific study duration is mentioned, as this appears to be a review rather than an intervention study.",Exclude,"The abstract represents a review paper discussing physical activity's health benefits, which fundamentally fails to meet multiple screening criteria including lack of life satisfaction measurement, absence of a specific intervention, and non-compliance with required study design parameters. Critical shortcomings include the paper's review nature, missing quantitative baseline activity measurements, and no demonstration of an isolated physical activity intervention with measured outcomes. Consequently, the document does not qualify for inclusion based on the established screening requirements.",0.1
Daily Life Satisfaction in Older Adults as a Function of (In)Activity,"Jaclyn P. Maher, D. Conroy",10.1093/geronb/gbv086,https://doi.org/10.1093/geronb/gbv086,"The journals of gerontology. Series B, Psychological sciences and social sciences",44,2015,maybe,"The abstract does not provide information about participants' baseline physical activity levels, so it cannot be determined if they meet the <150 minutes/week criterion.",no,"This is an observational study examining associations between physical activity and life satisfaction, not an intervention study where effects can be isolated.",no,This is not an intervention study. It's an observational study examining associations rather than testing an intervention with measured baseline activity levels.,maybe,"The study measures life satisfaction, though there is some uncertainty about whether validated assessment tools were used.",yes,"The study focuses on older adults, who are presumably 18 or older.",yes,"The study focuses on ""community-dwelling older adults"" which appears to be a general population rather than a clinical population or elite athletes.",no,"This is a daily diary study with observational design, not a randomized controlled trial or prospective cohort study.",no,"The study duration is only 14 days, which falls short of the required 4-week minimum follow-up period.",Exclude,"The study fails to meet key screening criteria, including the required study design, intervention type, and follow-up duration. While examining physical activity and life satisfaction in older adults, the research does not qualify as a randomized controlled trial or prospective cohort study with a minimum 4-week follow-up period. Critical methodological limitations prevent the study from satisfying the predefined screening requirements.",0.5
Inverse association between physical inactivity and mental health in men and women.,"D. Galper, M. Trivedi, C. Barlow, A. Dunn, J. Kampert",10.1249/01.MSS.0000180883.32116.28,https://doi.org/10.1249/01.MSS.0000180883.32116.28,Medicine & Science in Sports & Exercise,446,2006,maybe,"The abstract does not specify the baseline activity levels of participants. While it measures activity levels, it does not indicate whether participants started with low activity levels.",no,"This is a cross-sectional study examining associations between physical activity and mental health outcomes. It does not involve an intervention, so the effects of physical activity cannot be isolated.",no,The study examines associations between physical activity and mental health outcomes but does not involve an intervention with measured baseline activity levels.,maybe,"The study measures emotional well-being using the General Well-Being Schedule (GWB), which is a validated assessment tool. However, it does not explicitly measure life satisfaction.",yes,The study includes adults aged 20-88 years.,yes,"The study uses a general population sample from the Aerobics Center Longitudinal Study, including both men and women aged 20-88 years.",no,"This is a cross-sectional study, not a randomized controlled trial or prospective cohort study.",no,"This is a cross-sectional study, not a longitudinal intervention study. It does not have a follow-up period.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design, lack of intervention, and absence of a longitudinal follow-up period. While examining physical activity and mental health in a general population, the research does not isolate intervention effects, measure life satisfaction specifically, or demonstrate baseline activity levels. Consequently, the study does not align with the systematic review's methodological requirements.",0.9
Experimentally increasing sedentary behavior results in decreased life satisfaction,"Meghan K. Edwards, P. Loprinzi",10.15171/hpp.2017.16,https://doi.org/10.15171/hpp.2017.16,Health Promotion Perspectives,16,2017,no,"The abstract indicates participants were ""active"" at baseline, suggesting they had higher than the required low activity levels.",yes,"The intervention specifically manipulated sedentary behavior and physical activity, with clear isolation of effects through the control group.",maybe,"While the study does measure baseline activity levels (via pedometry), it's actually studying reduction of activity rather than increase, which is the opposite of what's required.",yes,"The study used the Satisfaction with Life Scale (SWLS), which is a validated assessment tool for measuring life satisfaction.",yes,"Participants were between 18-35 years old, meeting the adult age requirement.",yes,"The study focused on ""active, young adults"" from the general population, not a clinical population or elite athletes.",yes,The study is explicitly described as a randomized controlled trial.,no,"The intervention lasted only one week, which is less than the required 4-week minimum follow-up period.",Exclude,"The study fails key screening criteria due to participants' high baseline activity levels and a short one-week intervention period, which do not meet the required low physical activity and minimum four-week follow-up specifications. Despite being a well-designed randomized controlled trial with validated life satisfaction measurements, the fundamental misalignment with population and duration requirements prevents study inclusion.",0.5
Leisure Time Physical Activity of Moderate to Vigorous Intensity and Mortality: A Large Pooled Cohort Analysis,"S. Moore, Alpa V. Patel, C. Matthews, A. Berrington de González, Yikyung Park, H. Katki, M. Linet, E. Weiderpass, K. Visvanathan, K. Helzlsouer, M. Thun, S. Gapstur, P. Hartge, I. Lee",10.1371/journal.pmed.1001335,https://doi.org/10.1371/journal.pmed.1001335,PLoS Medicine,626,2012,maybe,"The abstract does not provide any information about the baseline physical activity levels of the study participants, so it is uncertain whether they had low physical activity levels.",no,"The abstract describes this as an observational study of leisure-time physical activity, rather than an intervention study. This indicates that the effects of physical activity cannot be isolated from other interventions, and the study fails to meet this criterion.",no,"The abstract does not describe any intervention involving increased physical activity, and instead appears to be an observational study. This indicates that the study fails to meet the criterion of examining an intervention involving increased physical activity with measured baseline activity levels.",no,"The abstract does not mention the use of validated assessment tools to measure life satisfaction, and instead only mentions life expectancy as an outcome. This indicates that the study does not meet the criterion of measuring life satisfaction using validated assessment tools.",maybe,"The abstract does not specify the age of the study participants, so it is uncertain whether the study includes only adult participants.",yes,"The study appears to use data from the general population, with no mention of specific clinical populations or elite athletes. This suggests that the study meets the criterion of focusing on the general population.",no,"The abstract describes this as an observational study, rather than a randomized controlled trial or prospective cohort study. This suggests that the study fails to meet the criterion of being either a randomized controlled trial or a prospective cohort study.",maybe,"The abstract does not provide any information about the follow-up period of the study, so it is uncertain whether the study has a minimum follow-up period of 4 weeks or longer.",Exclude,"The study fails to meet multiple critical screening criteria, including the required outcome measurement of life satisfaction and the need for an intervention-based design. While the research uses a large general population sample, it fundamentally differs from the specified study requirements by examining life expectancy through an observational approach rather than a controlled intervention.",0.5
A time-lagged momentary assessment study on daily life physical activity and affect.,"M. Wichers, F. Peeters, B. Rutten, N. Jacobs, C. Derom, E. Thiery, P. Delespaul, J. van os",10.1037/a0025688,https://doi.org/10.1037/a0025688,Health Psychology,190,2012,no,"The abstract does not specify baseline physical activity levels of participants, which is a significant missing piece of information.",yes,"The study appears to isolate physical activity effects using experience sampling methodology, measuring changes before and after physical activity, which meets this criterion.",yes,"The study examines daily life increases in physical activity with measured changes, meeting this criterion.",no,"The study measures affective state (positive and negative affect) rather than life satisfaction specifically, which is a clear mismatch with the criterion.",no,"The abstract does not explicitly state the age range of participants. While twins are typically adults, we cannot be certain without explicit confirmation.",maybe,"The study uses female twins from the general population, which meets this criterion. However, it includes participants with clinical depression history, which might be considered a specific clinical population.",maybe,"This appears to be a prospective study using within-subject methodology, which could qualify as a prospective cohort study, though the design is somewhat unique.",maybe,"The study includes four follow-up assessments, suggesting a duration longer than 4 weeks, though the exact timeframe isn't specified, which likely meets the criterion.",Exclude,"The study focuses on affective state changes following physical activity among female twins, which diverges from the required life satisfaction outcome measurement. Critical screening criteria remain unmet, including unclear baseline activity levels, uncertain participant age range, and a population that includes individuals with clinical depression history. The primary outcome mismatch and incomplete information across multiple screening criteria suggest the study would likely not meet the specified inclusion requirements.",1.3
Does Counseling by Clinicians Improve Physical Activity? A Summary of the Evidence for the U.S. Preventive Services Task Force,"K. Eden, C. Orleans, C. Mulrow, N. Pender, S. Teutsch",10.7326/0003-4819-137-3-200208060-00015,https://doi.org/10.7326/0003-4819-137-3-200208060-00015,Annals of Internal Medicine,333,2002,maybe,"The abstract mentions ""sedentary or minimally active patients"" and references 29% of Americans getting no regular physical activity, suggesting the study likely meets this criterion, though it is not explicitly stated for all participants.",yes,"Physical activity interventions are clearly isolated, and some studies included other behavioral targets, but physical activity was a distinct component.",yes,"The study has a clear focus on physical activity interventions, and baseline activity levels were measured using self-report tools.",no,"The abstract does not mention measuring life satisfaction, and the focus is on physical activity levels and behavioral outcomes instead.",yes,"The focus is on adults in primary care settings, with no mention of children or adolescents.",yes,"The study focuses on the general adult population in primary care settings, with no mention of specific clinical populations or elite athletes.",yes,The study includes randomized controlled trials and one non-randomized controlled trial.,yes,"The study mentions ""long term"" outcomes defined as ""at least 6 months after randomization"".",Exclude,"The systematic review focuses on physical activity interventions in primary care settings, examining adult populations with low baseline activity levels through randomized controlled trials. While meeting most screening criteria, the study critically fails to measure life satisfaction as an outcome, which fundamentally disqualifies it from the review's primary research question. The comprehensive methodology and population selection are strong, but the absence of life satisfaction measurement renders the study non-compliant with the core screening requirements.",0.5
"Physical activity and quality of life among university students: exploring self-efficacy, self-esteem, and affect as potential mediators","R. Joseph, Kathryn E. Royse, Tanya J. Benitez, Dorothy W Pekmezi",10.1007/s11136-013-0492-8,https://doi.org/10.1007/s11136-013-0492-8,Quality of Life Research,208,2013,maybe,"The abstract does not specify the baseline activity levels of the participants. While PA is measured using the Godin Leisure Time Exercise Questionnaire, it is unclear if the participants had low baseline activity levels.",no,"This appears to be a cross-sectional study examining relationships between PA and QOL, not an intervention study. Therefore, the effects of physical activity cannot be isolated as an intervention, and this criterion is not met.",no,"This is not an intervention study. While PA is measured, there is no intervention involving increased physical activity. Therefore, this criterion is not met.",yes,"The study uses the Satisfaction with Life Scale, which is a validated assessment tool for measuring life satisfaction/QOL. This indicates that the study meets the criterion of measuring life satisfaction using validated assessment tools.",yes,"The study focuses on undergraduate students, who are typically 18 or older. This indicates that the study meets the criterion of including only adult participants.",yes,"The study focuses on undergraduate students, which represents the general population rather than specific clinical populations or elite athletes. This suggests that the study meets the criterion of focusing on the general population.",no,"The study appears to be a cross-sectional observational study using path analysis, not a randomized controlled trial or prospective cohort study. This indicates that the study does not meet the criterion of being either a randomized controlled trial or a prospective cohort study.",no,"This appears to be a cross-sectional study using questionnaires, not a longitudinal study with a follow-up period. Therefore, the study does not meet the criterion of having a minimum follow-up period of 4 weeks or longer.",Exclude,"The study uses validated measurement tools and focuses on a general population of undergraduate students, but lacks key intervention and longitudinal design elements. Critical screening criteria related to intervention isolation, study duration, and intervention type are not met, significantly limiting the study's alignment with the specified research parameters. While the research explores interesting relationships between physical activity and quality of life, it does not conform to the comprehensive methodological requirements.",0.9
