Title,Authors,DOI,DOI link,Venue,Citation count,Year
Shape of the relapse curve and long-term abstinence among untreated smokers.,"J. Hughes, Josue P. Keely, S. Naud",10.1111/J.1360-0443.2004.00540.X,https://doi.org/10.1111/J.1360-0443.2004.00540.X,Addiction,1399,2004
"Differences in happiness between smokers, ex-smokers and never smokers: cross-sectional findings from a national household survey.","L. Shahab, R. West",10.1016/j.drugalcdep.2011.08.011,https://doi.org/10.1016/j.drugalcdep.2011.08.011,Drug and Alcohol Dependence,71,2012
Major depression and non-specific distress following smoking cessation in the Canadian general population.,"S. Patten, J. Williams, D. Lavorato, Jian Li Wang, T. Sajobi, A. Bulloch",10.1016/j.jad.2017.04.056,https://doi.org/10.1016/j.jad.2017.04.056,Journal of Affective Disorders,16,2017
Nicotine dependence treatment: perceived health status improvement with 1-year continuous smoking abstinence.,"I. Croghan, D. Schroeder, J. Hays, K. M. Eberman, C. Patten, Emily J. Berg, R. Hurt",10.1093/EURPUB/CKI076,https://doi.org/10.1093/EURPUB/CKI076,European Journal of Public Health,31,2005
The relationship between nicotine cessation and mental disorders in a nationally representative sample.,"S. Donald, H. Chartrand, J. Bolton",10.1016/j.jpsychires.2013.05.011,https://doi.org/10.1016/j.jpsychires.2013.05.011,Journal of Psychiatric Research,26,2013
Article does not prove that smoking cessation has an “effect” on mental health,"S. Sanderson, Amy Taylor, M. Munafo",10.1136/bmj.g2018,https://doi.org/10.1136/bmj.g2018,British medical journal,5,2014
Benefits of smoking cessation for longevity.,"Donald H. Taylor, V. Hasselblad, S. J. Henley, M. Thun, F. Sloan",10.2105/AJPH.92.6.990,https://doi.org/10.2105/AJPH.92.6.990,American Journal of Public Health,505,2002
Smoking cessation for improving mental health,"Gemma M J Taylor, Ann McNeill, A. Farley, N. Lindson, P. Aveyard",10.1002/14651858.cd013522,https://doi.org/10.1002/14651858.cd013522,Cochrane Database of Systematic Reviews,160,2020
Clinical and public health significance of treatments to aid smoking cessation,"R. West, J. Stapleton",10.1183/09059180.00011005,https://doi.org/10.1183/09059180.00011005,European Respiratory Review,60,2008
Addressing concerns about smoking cessation and mental health: theoretical review and practical guide for healthcare professionals,"Gemma M J Taylor, A. Baker, Nadine Fox, D. Kessler, P. Aveyard, M. Munafo",10.1192/bja.2020.52,https://doi.org/10.1192/bja.2020.52,BJ Psych Advances,25,2020
Treating tobacco dependence in clinically depressed smokers: effect of smoking cessation on mental health functioning.,"J. Prochaska, S. Hall, J. Tsoh, S. Eisendrath, J. Rossi, Colleen A Redding, Amy B Rosen, Marc R Meisner, G. Humfleet, Julie A Gorecki",10.2105/AJPH.2006.101147,https://doi.org/10.2105/AJPH.2006.101147,American Journal of Public Health,119,2008
Smoking Cessation and Quality of Life: Changes in Life Satisfaction Over 3 Years Following a Quit Attempt,"Megan E. Piper, S. Kenford, M. Fiore, T. Baker",10.1007/s12160-011-9329-2,https://doi.org/10.1007/s12160-011-9329-2,Annals of Behavioral Medicine,154,2012
Trends in smoking among adults with mental illness and association between mental health treatment and smoking cessation.,"B. Cook, G. F. Wayne, E. Nilay Kafali, Zimin Liu, Chang Shu, M. Flores",10.1001/jama.2013.284985,https://doi.org/10.1001/jama.2013.284985,Journal of the American Medical Association (JAMA),469,2014
Change in mental health after smoking cessation: systematic review and meta-analysis,A. Jain,10.1136/SBMJ.G2255,https://doi.org/10.1136/SBMJ.G2255,British medical journal,2,2014
A comparison of smokers' and ex-smokers' health-related quality of life.,"Maria Tillmann, J. Silcock",10.1093/OXFORDJOURNALS.PUBMED.A024629,https://doi.org/10.1093/OXFORDJOURNALS.PUBMED.A024629,Journal of Public Health Medicine,154,1997
The impact of smoking cessation on schizophrenia and major depression,"M. Ragg, Rebecca Gordon, Tanya Ahmed, J. Allan",10.1177/1039856213486213,https://doi.org/10.1177/1039856213486213,Australasian Psychiatry,38,2013
EPA Guidance on Tobacco Dependence and Strategies for Smoking Cessation in People with Mental Illness,"T. Rüther, J. Bobes, M. Hert, T. H. Svensson, K. Mann, A. Batra, P. Gorwood, H. Möller",10.1016/j.eurpsy.2013.11.002,https://doi.org/10.1016/j.eurpsy.2013.11.002,European psychiatry,125,2014
