Title,Authors,DOI,DOI link,Venue,Citation count,Year
"Differences in happiness between smokers, ex-smokers and never smokers: cross-sectional findings from a national household survey.","L. Shahab, R. West",10.1016/j.drugalcdep.2011.08.011,https://doi.org/10.1016/j.drugalcdep.2011.08.011,Drug and Alcohol Dependence,71,2012
Predictors and health effects of smoking transitions in young adults,Jing Tian,-,-,-,0,2017
Smoking Cessation: A Pilot Study of the Effects on Health-Related Quality of Life and Perceived Work Performance One Week into the Attempt,"S. Erickson, L. Thomas, S. Blitz, Lindsey R Pontius",10.1345/aph.1E194,https://doi.org/10.1345/aph.1E194,The Annals of Pharmacotherapy,19,2004
Short-Term Benefits of Smoking Cessation Improve Respiratory Function and Metabolism in Smokers,"A. Pezzuto, Alberto Ricci, M. D’Ascanio, Alba Moretta, Giuseppe Tonini, N. Calabrò, Valeria Minoia, Alessia Pacini, Giuliana De Paolis, Eleonora Chichi, Elisabetta Carico, Antonella Tammaro",10.2147/COPD.S423148,https://doi.org/10.2147/COPD.S423148,International Journal of COPD,30,2023
Is Physical Activity Associated with Improved Short-term Smoking Cessation?,J. S. Schaefer,-,-,-,0,2010
Smoking Cessation Treatment Calls for Individualized Approach,"S. Kipnis, N. S. Miller",10.3928/0048-5713-20030901-08,https://doi.org/10.3928/0048-5713-20030901-08,-,2,2003
Smoking cessation: benefits versus risks of using pharmacotherapy to quit.,J. Samet,10.1161/CIRCULATIONAHA.113.006928,https://doi.org/10.1161/CIRCULATIONAHA.113.006928,Circulation,10,2014
A mixed methods study exploring the intricacies of smoking: stopping and relapsing during the transition to motherhood,C. Ashwin,-,-,-,0,2013
Smoking cessation and long-term weight gain in the Framingham Heart Study: an application of the parametric g-formula for a continuous outcome,"Priyanka Jain, G. Danaei, J. Robins, J. Manson, M. Hernán",10.1007/s10654-016-0200-4,https://doi.org/10.1007/s10654-016-0200-4,European Journal of Epidemiology,35,2016
"Smoking cessation, anxiety, mood and quality of life: reassuring evidences.","I. Baiardini, C. Sorino, F. Di Marco, F. Facchini",-,-,Minerva Medica,18,2014
Does Exercise Aid Smoking Cessation Through Reductions in Anxiety Sensitivity and Dysphoria?,"M. Zvolensky, D. Rosenfield, Lorra Garey, Brooke Y. Kauffman, Kirsten J. Langdon, Mark B. Powers, M. Otto, Michelle L Davis, B. Marcus, T. Church, Georita M Frierson, Lindsey B Hopkins, Daniel J. Paulus, Scarlett O. Baird, Jasper A. J. Smits",10.1037/hea0000588,https://doi.org/10.1037/hea0000588,Health Psychology,30,2018
Does smoking cessation result in improved mental health? A comparison of regression modelling and propensity score matching,"Gemma Taylor, A. Girling, A. McNeill, P. Aveyard",10.1136/bmjopen-2015-008774,https://doi.org/10.1136/bmjopen-2015-008774,BMJ Open,13,2015
Association of smoking cessation with financial stress and material well-being: results from a prospective study of a population-based national survey.,"M. Siahpush, M. Spittal, Gopal K Singh",10.2105/AJPH.2006.103580,https://doi.org/10.2105/AJPH.2006.103580,American Journal of Public Health,65,2007
Smoking cessation and pregnancy,R. West,10.1017/S0965539502000335,https://doi.org/10.1017/S0965539502000335,-,24,2002
Killing by lung cancer or by diabetes? The trade-off between smoking and obesity,"Federico Todeschini, J. Labeaga, S. Jiménez-Mart́ın",-,-,-,16,2010
Long-term effects of work cessation on respiratory health of textile workers: a 25-year follow-up study.,"Jing Shi, J. Hang, A. Mehta, Hong-xi Zhang, He-lian Dai, L. Su, E. Eisen, D. Christiani",10.1164/rccm.200903-0329OC,https://doi.org/10.1164/rccm.200903-0329OC,American Journal of Respiratory and Critical Care Medicine,21,2010
Epidemiology of gastro-oesophageal reflux A prospective population-based cohort study: The HUNT study,E. Ness-Jensen,-,-,-,1,2014
British Medical Journal,"P. Norman, J. Semmens, M. Lawrence-Brown, C. Holman",10.1136/bmj.1.860.779-a,https://doi.org/10.1136/bmj.1.860.779-a,-,0,1877
A Cross-Sectional Study of Happiness and Smoking Cessation among Parents.,"J. Drehmer, B. Hipple, D. Ossip, Emara Nabi-Burza, J. Winickoff",10.1017/jsc.2015.6,https://doi.org/10.1017/jsc.2015.6,Journal of Smoking Cessation,6,2017
Smoking Cessation and Preterm Birth in Second Pregnancy Among Women who Smoked in Their First.,"G. Pereira, J. Dunne, A. Regan, G. Tessema",10.1093/ntr/ntab135,https://doi.org/10.1093/ntr/ntab135,Nicotine & Tobacco Research,5,2021
POINT: Are Advanced Practice Professionals More Likely to Achieve Better Tobacco Cessation Results than Physicians? Yes.,"B. Hitsman, Amanda L. Baker, Andrea King",10.1016/j.chest.2017.03.031,https://doi.org/10.1016/j.chest.2017.03.031,Chest,2,2017
Association between smoking cessation and sexual health in men,"C. Harte, C. Meston",10.1111/j.1464-410X.2011.10503.x,https://doi.org/10.1111/j.1464-410X.2011.10503.x,BJU International,74,2012
Reassessing the importance of ‘lost pleasure’ associated with smoking cessation: implications for social welfare and policy,"T. Pechacek, P. Nayak, P. Slovic, Scott R. Weaver, Jidong Huang, M. Eriksen",10.1136/tobaccocontrol-2017-053734,https://doi.org/10.1136/tobaccocontrol-2017-053734,Tobacco Control,22,2017
Effect of changes in maternal smoking habits in early pregnancy on infant birthweight.,"P. Frank, R. McNamee, P. Hannaford, C. Kay",-,-,The British journal of general practice : the journal of the Royal College of General Practitioners,10,1994
smoking cessation result in comparison of regression modelling propensity matching.,"Gemma Taylor, A. Girling, A. McNeill, P. Aveyard",-,-,-,0,2015
Change in smoking status and change in health-related quality of life in young adults,"Jing Tian, A. Venn, L. Blizzard, G. Patton, T. Dwyer, S. Gall",10.1093/EURPUB/CKV174.059,https://doi.org/10.1093/EURPUB/CKV174.059,-,0,2015
Better Off Alone Than With a Smoker: The Influence of Partner's Smoking Behavior in Later Life.,"R. Margolis, Laura Wright",10.1093/geronb/gbu220,https://doi.org/10.1093/geronb/gbu220,"The journals of gerontology. Series B, Psychological sciences and social sciences",45,2016
Effects of smoking and smoking cessation on lipids and lipoproteins: outcomes from a randomized clinical trial.,"Adam D. Gepner, Megan E. Piper, H. Johnson, M. Fiore, T. Baker, J. Stein",10.1016/j.ahj.2010.09.023,https://doi.org/10.1016/j.ahj.2010.09.023,American Heart Journal,223,2011
Daily support and negative control during a quit attempt in single-smoking couples.,"Anne H. Buitenhuis, M. Tuinman, G. Stadler, M. Hagedoorn",10.1037/hea0000969,https://doi.org/10.1037/hea0000969,Health Psychology,4,2021
Does Depression Affect Smoking Cessation and Relapse,D. Cowley,10.1056/NEJM-JW.NA40669,https://doi.org/10.1056/NEJM-JW.NA40669,-,0,2016
Longitudinal associations between people's cessation-related experiences and their satisfaction with cessation,"Austin S. Baldwin, Alexander J. Rothman, Andrew W. Hertel, Nora Keenan, R. Jeffery",10.1080/08870440701639377,https://doi.org/10.1080/08870440701639377,Psychology and Health,17,2009
When to Quit Under Uncertainty? A real options approach to smoking cessation,"Yu-Fu Chen, D. Petrie",-,-,-,2,2012
A review of smoking cessation interventions.,"Ashish Maseeh, G. Kwatra",-,-,MedGenMed : Medscape general medicine,18,2005
Determining the Short-term Effects of Smoking Cessation Using Nicotine Gum on Oral Health-Related Quality of Life: A Pilot Study,"N. Navabi, M. Hashemipour, Rana Ramezani, Saghar Karimiafshar, Fatemeh Najminouri",10.34172/ahj.2024.1443,https://doi.org/10.34172/ahj.2024.1443,addiction and health,1,2024
Smoking cessation process and quality of life,"Hatzilia Despoina, Malliarou Maria, Korompeli Anna, T. Konstantinos, Fildissis George",10.5430/jnep.v7n9p1,https://doi.org/10.5430/jnep.v7n9p1,-,5,2017
The effects of smoking abstinence on symptom burden and quality of life among persons living with HIV/AIDS.,"D. Vidrine, R. Arduino, E. Gritz",10.1089/APC.2007.0022,https://doi.org/10.1089/APC.2007.0022,AIDS Patients Care and STDs,58,2007
Smoking Ban and Life Satisfaction: Evidence from the UK,"T. Hinks, Andreas Katsaros",-,-,-,5,2012
Anti-smoking policies and smoker well-being: evidence from Britain.,"A. Leicester, Peter Levell",10.1111/J.1475-5890.2015.12063,https://doi.org/10.1111/J.1475-5890.2015.12063,-,19,2013
The role of childbirth in smoking cessation.,"H. Brenner, A. Mielck",10.1006/PMED.1993.1019,https://doi.org/10.1006/PMED.1993.1019,Preventive Medicine,51,1993
Economics of smoking cessation,"S. Parrott, C. Godfrey",10.1136/BMJ.328.7445.947,https://doi.org/10.1136/BMJ.328.7445.947,British medical journal,154,2004
THE IMPACT OF PUBLIC SMOKING BANS ON WELL-BEING EXTERNALITIES : EVIDENCE FROM A NATURAL EXPERIMENT,"Miaoqing Yang, Eugenio Zucchelli",-,-,-,3,2015
The hazards of smoking and the benefits of cessation: A critical summation of the epidemiological evidence in high-income countries,P. Jha,10.7554/eLife.49979,https://doi.org/10.7554/eLife.49979,eLife,116,2020
Smoking Behaviour and Life Satisfaction: Evidence from the UK Smoking Ban,"T. Hinks, Andreas Katsaros",-,-,-,7,2010
"Commentary on Sarna L, Bialous SA, Wells M, Kotlerman J, Wewers ME & Froelicher ES (2009). Frequency of nurses' smoking cessation interventions: report from a national survey. Journal of Clinical Nursing 18, 2066-2077.","S. Underwood, T. Ryan",10.1111/j.1365-2702.2009.02975.x,https://doi.org/10.1111/j.1365-2702.2009.02975.x,Journal of Clinical Nursing,16,2010
Life Gain in Italian Smokers Who Quit,"L. Carrozzi, Franco Falcone, G. Carreras, F. Pistelli, G. Gorini, A. Martini, G. Viegi",10.3390/ijerph110302395,https://doi.org/10.3390/ijerph110302395,International Journal of Environmental Research and Public Health,7,2014
[Elderly ex-smokers and their health status].,"Małgorzata Suwała, W. Drygas, A. Gerstenkorn",-,-,Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,1,2007
Smoking cessation and smoking patterns in the general population: a 1-year follow-up.,"R. West, A. McEwen, K. Bolling, L. Owen",10.1046/J.1360-0443.2001.96689110.X,https://doi.org/10.1046/J.1360-0443.2001.96689110.X,Addiction,314,2001
