Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Complete Cessation,"Reasoning for ""Complete Cessation""",Mental Health Outcomes,"Reasoning for ""Mental Health Outcomes""",Outcome Scope,"Reasoning for ""Outcome Scope""",Population Health Status,"Reasoning for ""Population Health Status""",Study Design,"Reasoning for ""Study Design""",Temporal Measurement,"Reasoning for ""Temporal Measurement""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Shape of the relapse curve and long-term abstinence among untreated smokers.,"J. Hughes, Josue P. Keely, S. Naud",10.1111/J.1360-0443.2004.00540.X,https://doi.org/10.1111/J.1360-0443.2004.00540.X,Addiction,1399,2004,maybe,"The abstract does not explicitly state the age range of participants, so there is uncertainty about whether the study includes only adult participants (aged 18 or older) who were current smokers at baseline.",yes,"The study does measure complete cessation (""prolonged abstinence"") rather than just reduction, meeting this criterion.",no,"The study does not measure any of the specified mental health outcomes (mental well-being, life satisfaction, or quality of life), which is another critical failure.",no,"The abstract focuses exclusively on smoking cessation and relapse rates, and there is no mention of mental well-being measures or psychological outcomes, which is a critical failure to meet this criterion.",maybe,"The abstract does not specify whether participants had severe mental illness or substance use disorders, so this information is unclear.",yes,"The paper is a systematic literature review of prospective studies, which meets the study design criterion. However, the focus is on relapse curves rather than the primary outcomes of interest.",yes,"The study does report specific timeframes, particularly focusing on the first 8 days and 6-12 month periods for abstinence, which meets this criterion.",Exclude,"The systematic review focuses exclusively on smoking cessation rates and relapse curves, critically failing to include any mental health outcome measures. While the study design and temporal measurements are appropriate, the complete absence of mental well-being, life satisfaction, or quality of life assessments renders the paper unsuitable for the intended review. Population characteristics remain unclear, further complicating potential inclusion.",0.5
"Differences in happiness between smokers, ex-smokers and never smokers: cross-sectional findings from a national household survey.","L. Shahab, R. West",10.1016/j.drugalcdep.2011.08.011,https://doi.org/10.1016/j.drugalcdep.2011.08.011,Drug and Alcohol Dependence,71,2012,maybe,"The study uses a ""nationally representative sample of adults"" and doesn't mention any age restrictions, suggesting adult participants. However, it's not explicitly stated that all participants were current smokers at baseline.",yes,"The study appears to measure complete cessation, as it categorizes participants as ex-smokers and distinguishes between different durations of abstinence.",yes,"The study measures happiness using ""two standard measures"" of happiness, though the specific validation of these measures isn't detailed in the abstract.",yes,"The study focuses on happiness as a mental well-being measure, not just physical health outcomes.",maybe,The abstract doesn't explicitly mention whether participants with severe mental illness or substance use disorders were excluded. This is unclear.,no,"The study is explicitly described as ""cross-sectional,"" which does not meet the criterion requiring longitudinal design (RCT, prospective cohort, systematic review, or meta-analysis).",yes,"The study does report specific timeframes, comparing ex-smokers <1 year and ≥1 year with current and never smokers.",Exclude,"A cross-sectional study examining happiness among smokers and ex-smokers reveals promising insights into mental well-being, but fails to meet key methodological criteria, particularly the requirement for a longitudinal design. While the research provides valuable data on smoking cessation and happiness, its non-longitudinal approach and unclear population health status create significant screening limitations.",1.3
Major depression and non-specific distress following smoking cessation in the Canadian general population.,"S. Patten, J. Williams, D. Lavorato, Jian Li Wang, T. Sajobi, A. Bulloch",10.1016/j.jad.2017.04.056,https://doi.org/10.1016/j.jad.2017.04.056,Journal of Affective Disorders,16,2017,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",maybe,"The study appears to measure complete cessation (former daily smokers vs. current smokers), though the exact definition of cessation is not explicitly stated, partially meeting this criterion.",yes,"The study uses validated measures (K-6 scale) for mental health outcomes, specifically measuring depression and distress, which meets this criterion.",yes,"The study clearly includes mental well-being measures, specifically major depressive episodes (MDE) and non-specific distress (K-6 scale), which meets this criterion.",maybe,"The abstract does not explicitly state whether participants with severe mental illness or substance use disorders were excluded, creating uncertainty about this criterion.",no,"The study uses cross-sectional surveys, which does not meet the criterion requiring a longitudinal design (RCT, prospective cohort study, systematic review, or meta-analysis). This is identified as a critical limitation.",yes,"The study does report temporal aspects, noting changes ""especially in the first year"" and comparing ""recently quitting"" to longer-term outcomes, which meets this criterion.",Exclude,"The study's cross-sectional design fundamentally conflicts with the required longitudinal research methodology, creating a critical screening limitation. While the research effectively measures mental health outcomes and temporal changes in smoking cessation, the non-longitudinal approach prevents full alignment with the specified screening criteria. Uncertainties around participant age range and population health status further complicate the study's potential inclusion.",1.3
Nicotine dependence treatment: perceived health status improvement with 1-year continuous smoking abstinence.,"I. Croghan, D. Schroeder, J. Hays, K. M. Eberman, C. Patten, Emily J. Berg, R. Hurt",10.1093/EURPUB/CKI076,https://doi.org/10.1093/EURPUB/CKI076,European Journal of Public Health,31,2005,maybe,"The abstract does not explicitly state the age range of participants, but since these are patients from a clinical treatment center for nicotine dependence, it is highly likely they are adults, though this is not certain without explicit confirmation.",yes,"The study specifically measures complete smoking cessation (""continuous smoking abstinence for the entire year"") versus continuous smoking, which meets the criterion for measuring complete smoking cessation.",yes,"The study uses the SF-36, which is a validated measure of quality of life, including mental health components, which meets the criterion for measuring mental health outcomes using validated measures.",yes,"The study includes mental well-being measures through the SF-36 mental composite scale and various subscales (emotional role limitations, social functioning), which meets the criterion for including mental well-being measures.",maybe,"The abstract does not explicitly state whether participants had severe mental illness or substance use disorders, but since these are patients seeking treatment for nicotine dependence at a specialized center, it is likely they were screened for primary conditions, though this is not certain.",yes,"The study is longitudinal, following patients for 1 year with baseline and follow-up measurements, which clearly meets the criterion for a longitudinal study design.",yes,"The study has a clear 1-year timeframe between baseline and outcome measurement, explicitly stated in the methods and results, which meets the criterion for reporting specific timeframes between smoking cessation and outcome measurement.",Include,"A longitudinal study examining smoking cessation's impact on mental health and quality of life, using validated SF-36 measures across a one-year timeframe. The research compares continuous smokers with those achieving complete abstinence, measuring mental well-being outcomes through comprehensive health status assessments. While most screening criteria are clearly met, some uncertainty exists regarding participant age range and potential mental health exclusions.",4.5
The relationship between nicotine cessation and mental disorders in a nationally representative sample.,"S. Donald, H. Chartrand, J. Bolton",10.1016/j.jpsychires.2013.05.011,https://doi.org/10.1016/j.jpsychires.2013.05.011,Journal of Psychiatric Research,26,2013,yes,"The study uses NESARC data, which is a nationally representative survey of adults. While the exact age range isn't specified, NESARC typically includes adults 18 and older.",yes,"The study specifically looks at ""abstained from nicotine in the last year,"" indicating complete cessation rather than just reduction.",yes,"The study measures quality of life using both physical and mental components, which are typically validated measures.",yes,"The study explicitly includes mental well-being measures, including mental quality of life and mental disorders.",maybe,"While the study examines mental disorders, it's not clear if participants with severe mental illness were excluded. The study actually measures mental disorders as outcomes, which might indicate inclusion of participants with these conditions.",yes,This is a longitudinal study comparing outcomes between different time points (current vs. past year cessation).,yes,"The study specifically looks at ""people who met DSM-IV criteria for nicotine dependence previously but who had abstained from nicotine in the last year,"" providing a clear one-year timeframe.",Exclude,"A longitudinal study examining nicotine cessation among adults demonstrates strong alignment with most screening criteria, including comprehensive mental health and quality of life measurements. The research provides detailed insights into smoking cessation outcomes, measuring complete abstinence and mental well-being across a nationally representative sample. One potential limitation involves the unclear exclusion of participants with severe mental health conditions, which introduces a nuanced consideration for screening purposes.",3.8
Article does not prove that smoking cessation has an “effect” on mental health,"S. Sanderson, Amy Taylor, M. Munafo",10.1136/bmj.g2018,https://doi.org/10.1136/bmj.g2018,British medical journal,5,2014,no,"The abstract does not specify the age range of participants, and there is no explicit mention of baseline smoking status, so the reasoning is uncertain regarding whether the study included only adult participants who were current smokers at baseline.",no,"While smoking cessation is mentioned in the abstract, it does not specify whether complete cessation was measured, so the reasoning is uncertain regarding whether the study measured complete smoking cessation.",maybe,"Mental health is mentioned in the abstract, but no specific validated measures are described, so the reasoning indicates that the study partially meets this criterion.",yes,"The abstract does mention mental health outcomes, so the reasoning indicates that the study meets this criterion.",no,"No information about participants' mental health or substance use status is provided in the abstract, so the reasoning is uncertain regarding whether the study population was free from severe mental illness or substance use disorders as primary conditions.",no,"The abstract appears to be discussing a study by Taylor et al., but the study design is not explicitly stated, so the reasoning is uncertain regarding whether the study design was longitudinal.",no,"No specific timeframes are mentioned in the abstract, so the reasoning is uncertain regarding whether the study reported specific timeframes between smoking cessation and outcome measurement.",Exclude,"The abstract lacks sufficient detail to confidently assess most screening criteria, with only mental health outcomes partially addressed. Critical information about population characteristics, study design, temporal measurements, and specific outcome measures is missing, creating significant uncertainty about meeting the comprehensive screening requirements.",0.5
Benefits of smoking cessation for longevity.,"Donald H. Taylor, V. Hasselblad, S. J. Henley, M. Thun, F. Sloan",10.2105/AJPH.92.6.990,https://doi.org/10.2105/AJPH.92.6.990,American Journal of Public Health,505,2002,maybe,"The study includes participants across various age ranges (35-65+), so it meets the adult population criterion. However, it's not explicitly stated that all participants were current smokers at baseline, though this can be reasonably inferred from the study design.",yes,"The study appears to measure complete cessation (""stopping smoking"" and ""smokers who quit""), meeting this criterion.",no,"The study does not measure any of the specified mental health outcomes (mental well-being, life satisfaction, or quality of life). It focuses solely on mortality, failing this criterion.",no,"The study focuses exclusively on mortality/life expectancy as outcomes. There is no mention of mental well-being measures, failing this criterion.",maybe,The abstract doesn't mention any exclusion criteria regarding mental illness or substance use disorders. This information is unclear.,yes,"The study appears to be a large prospective cohort study (Cancer Prevention Study II) with 877,243 respondents, meeting this criterion.",no,"While the study examines outcomes at different ages of cessation, it doesn't explicitly report specific timeframes between cessation and outcome measurement. This is a significant limitation.",Exclude,"The study primarily focuses on mortality and life expectancy among smokers, lacking explicit mental health outcome measurements or detailed temporal cessation tracking. While the research design meets some screening criteria like adult population and complete cessation, it fundamentally fails to address mental well-being measures and comprehensive health status assessments. Consequently, the study does not align with the systematic review's specific requirements for mental health outcomes.",0.9
Smoking cessation for improving mental health,"Gemma M J Taylor, Ann McNeill, A. Farley, N. Lindson, P. Aveyard",10.1002/14651858.cd013522,https://doi.org/10.1002/14651858.cd013522,Cochrane Database of Systematic Reviews,160,2020,maybe,"The abstract does not specify the age range of participants, and there is no explicit mention of current smokers at baseline. Therefore, the information provided is insufficient to determine if the study includes only adult participants who were current smokers at baseline.",maybe,"No specification is provided about whether the study measures complete smoking cessation or just reduction, so the information is insufficient to determine if the study measures complete smoking cessation.",maybe,"The abstract mentions ""mental health outcomes,"" but it does not specify if validated measures are used, so the information provided is insufficient to determine if the study measures at least one of the required mental health outcomes using validated measures.",yes,"The abstract mentions ""mental health outcomes,"" which suggests the inclusion of mental well-being measures.",maybe,"No information is provided about the exclusion or inclusion of participants with mental illness or substance use disorders, so the population health status cannot be determined.",maybe,"This is a Cochrane Review protocol, which would typically include longitudinal studies. However, as a protocol, it's not yet an actual review, so the study design cannot be definitively assessed.",maybe,"No specific timeframes are mentioned in the abstract, so the information provided is insufficient to determine if the study reports specific timeframes between smoking cessation and outcome measurement.",Exclude,"A Cochrane Review protocol investigating smoking cessation and mental health outcomes presents significant uncertainty across multiple screening criteria due to extremely limited information. While the study's focus on mental health outcomes suggests potential alignment with screening requirements, the lack of specific details prevents definitive assessment of participant characteristics, study design, and measurement approaches.",1.7
Clinical and public health significance of treatments to aid smoking cessation,"R. West, J. Stapleton",10.1183/09059180.00011005,https://doi.org/10.1183/09059180.00011005,European Respiratory Review,60,2008,maybe,"The abstract mentions smokers over 40 years, which implies adult participants. However, it doesn't explicitly state that all participants were current smokers at baseline, creating some uncertainty, though the context strongly suggests this is the case.",yes,"The abstract does discuss ""permanent"" cessation and successful quitting, suggesting complete cessation is measured.",no,"The abstract doesn't mention any validated measures of mental well-being, life satisfaction, or quality of life.",no,The abstract focuses primarily on life expectancy and mortality outcomes. There is no mention of mental well-being measures.,no,The abstract doesn't mention any exclusion criteria regarding mental illness or substance use disorders.,maybe,"The abstract discusses ""high-quality randomised controlled trials"" and appears to be a review of evidence, which meets the longitudinal study design criterion. However, it's not entirely clear if this is a systematic review or meta-analysis versus a narrative review.",no,"The abstract discusses timeframes in terms of life expectancy and years of smoking cessation, but doesn't specifically detail the timeframes between cessation and outcome measurement.",Exclude,"The abstract primarily focuses on smoking cessation's impact on life expectancy, lacking explicit mental health outcome measures or validated psychological assessments. While addressing adult smokers and complete cessation, the study does not meet key screening criteria related to mental well-being, temporal measurement specifics, or population health status. Consequently, the research does not align sufficiently with the systematic review's mental health-oriented screening requirements.",0.9
Addressing concerns about smoking cessation and mental health: theoretical review and practical guide for healthcare professionals,"Gemma M J Taylor, A. Baker, Nadine Fox, D. Kessler, P. Aveyard, M. Munafo",10.1192/bja.2020.52,https://doi.org/10.1192/bja.2020.52,BJ Psych Advances,25,2020,maybe,"The abstract does not explicitly specify the age ranges of the participants, so it is uncertain whether the study includes only adult participants (aged 18 or older) who were current smokers at baseline.",maybe,"The abstract discusses smoking cessation generally, but there is no distinction between complete cessation and reduction.",maybe,"While mental health is discussed, there is no mention of validated measures, and no specific measurement tools or scales are referenced.",yes,"Mental well-being is clearly a focus, as the abstract discusses mental health improvements and depression/anxiety.",no,"The abstract specifically focuses on people with depression and anxiety, which appears to be the primary population of interest.",no,"This appears to be a review article or commentary rather than a longitudinal study, as there is no mention of RCT, cohort study, or systematic review methodology.",no,"No specific timeframes are mentioned for measuring outcomes, only general statements about smoking cessation effects.",Exclude,"The abstract fails to meet several key screening criteria, including longitudinal study design, specific temporal measurements, and a population free from primary mental health conditions. While addressing mental well-being, the text appears to be a commentary rather than a research study, with significant uncertainties around measurement methods and participant characteristics. Multiple critical screening requirements are not satisfied, rendering the document unsuitable for the intended research selection.",0.5
