Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Smoking Status,"Reasoning for ""Smoking Status""",Complete Cessation,"Reasoning for ""Complete Cessation""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Psychological Measures,"Reasoning for ""Psychological Measures""",General Population,"Reasoning for ""General Population""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
"Differences in happiness between smokers, ex-smokers and never smokers: cross-sectional findings from a national household survey.","L. Shahab, R. West",10.1016/j.drugalcdep.2011.08.011,https://doi.org/10.1016/j.drugalcdep.2011.08.011,Drug and Alcohol Dependence,71,2012,maybe,"The abstract mentions ""adults"" but does not explicitly specify that all participants were 18 years or older. However, since it is described as a ""nationally representative sample of adults,"" it is very likely that all participants were 18 or older.",maybe,"While the study includes smokers, it does not explicitly state the frequency of smoking (≥1 cigarette/day). However, given that it is a general population study, it is likely that regular smokers were included.",yes,"The study examines ex-smokers and distinguishes between those who quit less than 1 year and those who quit 1 year or more, indicating that it examines complete cessation rather than just reduction.",maybe,"The study uses ""two standard measures of happiness,"" but it does not specify if these are validated scales. However, the mention of ""standard measures"" suggests that they might be validated.",no,"The study is described as a ""cross-sectional household study,"" which does not meet the required study designs of longitudinal, cohort, randomized controlled trial, or systematic review.",no,"As a cross-sectional study, there is no follow-up period, which fails to meet the 3-month follow-up requirement.",yes,"The study clearly includes psychological measures (happiness, depression, anxiety) beyond just physical health outcomes.",yes,"The study uses a ""nationally representative sample"" and does not focus on specific medical conditions or unique populations, indicating that it was conducted in a general population.",Exclude,"A cross-sectional study examining happiness among smokers and ex-smokers fails to meet key screening criteria, specifically the required study design and follow-up duration. Despite exploring psychological measures in a general population, the lack of a longitudinal approach and absence of a 3-month follow-up period disqualify the study from meeting the established screening requirements.",0.5
Predictors and health effects of smoking transitions in young adults,Jing Tian,-,-,-,0,2017,maybe,"The study follows participants from childhood (8-15 years) into adulthood, so while the outcomes are measured in adulthood, the study includes some participants who were under 18 during part of the study period.",maybe,"The abstract doesn't specify the minimum smoking frequency required for inclusion, so it's unclear if the study included participants who were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study examines complete smoking cessation, comparing quitters to continuing smokers, which meets the complete cessation criterion.",yes,"The study uses health-related quality of life (HRQoL) measures, which are validated instruments for measuring quality of life, which meets the outcome measures criterion.",yes,"This is a longitudinal study (25-year follow-up) combined with a systematic review and meta-analysis, which meets the study design criterion.",yes,"The study includes a 25-year follow-up period, well exceeding the 3-month minimum requirement, which meets the follow-up duration criterion.",yes,"The study includes both physical and mental HRQoL measures, covering psychological aspects beyond physical health, which meets the psychological measures criterion.",yes,"The study uses a general population sample from the Australian Schools Health and Fitness Survey, not focusing on specific medical conditions or unique populations, which meets the general population criterion.",Exclude,"A longitudinal study examining smoking cessation in young adults, with comprehensive follow-up and quality of life measures across multiple domains. The research meets most screening criteria, though some uncertainty exists regarding participant age range and precise smoking status definition. The study provides robust insights into smoking cessation outcomes using validated instruments and a large population sample.",3.8
Smoking Cessation: A Pilot Study of the Effects on Health-Related Quality of Life and Perceived Work Performance One Week into the Attempt,"S. Erickson, L. Thomas, S. Blitz, Lindsey R Pontius",10.1345/aph.1E194,https://doi.org/10.1345/aph.1E194,The Annals of Pharmacotherapy,19,2004,yes,"The study included participants with a mean age of 48.6 ± 12.0 years, which clearly meets the criterion for an adult population (18 years or older).",yes,"Participants were in a smoking cessation program and the study used the Fagerström Test for Nicotine Dependence, implying that the participants were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study examined smoking cessation attempts, and participants were in a smoking-cessation program, indicating a focus on complete cessation rather than just reduction or switching to alternatives.",yes,"The study used validated instruments, including the Smoking Cessation Quality of Life Questionnaire, to measure health-related quality of life (HRQoL) and included specific domains like anxiety, cognitive functioning, and general health.",yes,"The study design was described as a pilot study with pre-post measurements, which, while not explicitly stated as longitudinal, does follow participants over time and meets the criterion for an acceptable study design (longitudinal, cohort, RCT, or systematic review).",no,"The follow-up duration was only one week post-quit, which falls significantly short of the required 3-month follow-up period.",yes,"The study included multiple psychological measures, such as anxiety, cognitive functioning, role emotional, and mental health, going beyond just physical health outcomes.",yes,"The study appears to have been conducted in a general population, with no mention of specific medical conditions or unique populations, and the only demographic limitation noted was that the participants were predominantly white and female.",Exclude,"A pilot study examining smoking cessation in adults demonstrated strong alignment with most screening criteria, including validated psychological measures and appropriate population selection. However, the critically short one-week follow-up period represents a significant limitation that would likely disqualify the study from meeting the comprehensive screening requirements. Despite robust methodology in measuring quality of life and psychological outcomes, the temporal constraint prevents full compliance with the established criteria.",1.3
Short-Term Benefits of Smoking Cessation Improve Respiratory Function and Metabolism in Smokers,"A. Pezzuto, Alberto Ricci, M. D’Ascanio, Alba Moretta, Giuseppe Tonini, N. Calabrò, Valeria Minoia, Alessia Pacini, Giuliana De Paolis, Eleonora Chichi, Elisabetta Carico, Antonella Tammaro",10.2147/COPD.S423148,https://doi.org/10.2147/COPD.S423148,International Journal of COPD,30,2023,yes,"The study included an adult population with a mean age of 62, indicating that all participants were 18 years or older.",yes,The participants were current smokers with a mean daily consumption of 22.5 cigarettes.,yes,The study explicitly focused on smoking cessation and used exhaled CO to verify cessation.,maybe,"The study used the COPD assessment test (CAT) and the mMRC test for dyspnea, which are primarily respiratory function measures, but did not clearly mention the use of validated scales or instruments to measure life satisfaction, quality of life, or wellbeing.",yes,"The study design was a longitudinal study with before/after measurements, following participants over time.",no,"The study had a follow-up period of only one month, which falls short of the required 3-month minimum.",maybe,"The study included the CAT, which has some quality of life components, but the focus appeared to be primarily on respiratory and metabolic measures, with limited psychological or quality of life measures.",yes,"The study was conducted in a general population of smokers, with no indication of specific medical conditions as inclusion criteria.",Exclude,"The study meets most screening criteria, including adult population, complete smoking cessation, and general population focus. However, it falls short on follow-up duration, requiring only one month instead of the mandated three months, and provides limited psychological and quality of life measures. These limitations significantly impact the study's alignment with the comprehensive screening requirements.",1.3
Is Physical Activity Associated with Improved Short-term Smoking Cessation?,J. S. Schaefer,-,-,-,0,2010,yes,"The study included adult participants, as the abstract explicitly stated that ""adult smokers"" were the participants.",yes,"Participants were heavy smokers, smoking at least 15 cigarettes per day for at least 5 years, exceeding the minimum requirement of at least 1 cigarette per day.",yes,"The study aimed for complete cessation, with participants instructed to quit smoking within 48 hours.",no,"The abstract does not mention any validated scales for measuring life satisfaction, quality of life, or wellbeing. The focus is on exercise habits and smoking behavior.",yes,"The study appears to be a longitudinal study with a 2-week follow-up period, though the duration is relatively short.",no,"The study only followed participants for 2 weeks, which falls short of the required 3-month follow-up period.",no,"While motivation was measured at baseline, the study does not appear to include ongoing psychological or quality of life measures during the follow-up period.",yes,"The study appears to use a general population of adult smokers, with no mention of specific medical conditions or unique populations.",Exclude,"The study involves adult heavy smokers attempting to quit, but falls short of key screening requirements due to its brief two-week follow-up period and lack of validated quality of life or psychological outcome measures. Despite meeting criteria for population and smoking status, the research design does not align with the comprehensive assessment needed for inclusion, particularly regarding long-term follow-up and holistic outcome measurement.",0.5
Smoking Cessation Treatment Calls for Individualized Approach,"S. Kipnis, N. S. Miller",10.3928/0048-5713-20030901-08,https://doi.org/10.3928/0048-5713-20030901-08,-,2,2003,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older.",maybe,"While the paper discusses smokers, it does not explicitly specify the baseline smoking frequency (≥1 cigarette/day).",yes,"The paper does focus on complete smoking cessation rather than just reduction, as evidenced by its discussion of various cessation treatments and interventions.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. The focus appears to be on cessation success rather than these specific outcomes.",no,"This appears to be a review article or commentary rather than a primary research study, so it does not meet the requirement for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",maybe,"While some referenced studies mention follow-up periods, the abstract does not clearly indicate a minimum 3-month follow-up requirement.",no,"While the paper discusses various aspects of smoking cessation, it does not explicitly mention psychological or quality of life measures beyond physical health outcomes.",maybe,"The paper appears to cover both general population and specific populations (e.g., pregnant women, substance abusers), so it is not exclusively focused on a specific medical condition, but it is also not clearly limited to the general population.",Exclude,"The document appears to be a review article discussing smoking cessation treatments, which fails to meet several key screening criteria including study design, validated outcome measures, and clear population characteristics. While addressing smoking cessation comprehensively, the text lacks the specific methodological requirements for inclusion, such as a defined follow-up period and validated psychological assessment tools. The paper's broad scope and commentary nature prevent it from satisfying the systematic review's rigorous screening standards.",0.9
Smoking cessation: benefits versus risks of using pharmacotherapy to quit.,J. Samet,10.1161/CIRCULATIONAHA.113.006928,https://doi.org/10.1161/CIRCULATIONAHA.113.006928,Circulation,10,2014,maybe,"The abstract does not explicitly specify the age range of participants, only mentioning ""at any age"" in reference to general benefits rather than study participants.",maybe,"While the abstract discusses smokers, it does not specify the baseline smoking frequency (≥1 cigarette/day).",maybe,The abstract discusses smoking cessation broadly but does not specify whether it focuses on complete cessation versus reduction.,no,"The abstract focuses on health outcomes (cardiovascular mortality, cancer rates) but does not mention any validated scales for measuring life satisfaction or quality of life.",no,The abstract appears to be a commentary or review of general trends rather than presenting a specific study design. It references other studies and population-level data but does not describe its own methodology.,no,No specific follow-up duration is mentioned in the abstract.,no,No psychological or quality of life measures are mentioned in the abstract.,yes,"The abstract discusses the general US population, so this criterion appears to be met.",Exclude,"The abstract lacks specific details about study design, participant characteristics, and outcome measures required by the screening criteria. While discussing smoking cessation broadly, it fails to provide evidence of a structured research study with validated psychological or quality of life assessments. Multiple key screening requirements remain unaddressed, suggesting the text is more of a general commentary than a research study meeting systematic review standards.",0.5
A mixed methods study exploring the intricacies of smoking: stopping and relapsing during the transition to motherhood,C. Ashwin,-,-,-,0,2013,maybe,"The study included participants aged 16-38 years, which means not all participants were 18 years or older as required by the criterion.",maybe,"The abstract did not specify the baseline smoking frequency of participants, so it is unclear if they met the criterion of being regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study focused on complete smoking cessation during pregnancy and postpartum periods, which meets the requirement for examining complete cigarette smoking cessation.",no,"The abstract did not mention using validated scales or instruments to measure life satisfaction, quality of life, or wellbeing, so it is unclear if this criterion was met.",yes,"The study design was a mixed-methods longitudinal study with follow-up interviews at multiple time points, which meets the requirement for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study included follow-up to 3-6 months postpartum, which meets the minimum 3-month follow-up duration requirement.",maybe,"While the study included psychological aspects (self-efficacy, self-belief, stress), these were not measured using validated instruments as required by criterion 7.",no,"The study specifically focused on pregnant women, which is a unique population subset excluded by the criteria.",Exclude,"The study focuses on pregnant women's smoking cessation, which deviates from the general population requirement, and lacks validated outcome measures for life satisfaction or quality of life. While the research design includes longitudinal follow-up and explores complete smoking cessation, the inclusion of participants under 18 and the specific population of pregnant women significantly limit its alignment with the screening criteria.",0.5
Smoking cessation and long-term weight gain in the Framingham Heart Study: an application of the parametric g-formula for a continuous outcome,"Priyanka Jain, G. Danaei, J. Robins, J. Manson, M. Hernán",10.1007/s10654-016-0200-4,https://doi.org/10.1007/s10654-016-0200-4,European Journal of Epidemiology,35,2016,maybe,"The study uses the Framingham Heart Study cohort from 1952, which typically includes adult participants. While not explicitly stated, it's very likely these were adults.",yes,"The study includes smokers who smoked 5-20 cigarettes/day, which meets the criterion of ≥1 cigarette/day.",yes,"The study examines complete smoking cessation, comparing outcomes between those who quit versus those who continued smoking.",no,"The study focuses primarily on weight gain and does not mention using validated scales for life satisfaction, quality of life, or wellbeing.",yes,"This is described as a ""prospective observational study"" which qualifies as a longitudinal study.",yes,"The study has a 20-year follow-up period, well exceeding the minimum 3-month requirement.",no,The abstract does not mention any psychological or quality of life measures. The focus is entirely on physical outcomes (weight).,yes,"The study uses a general population cohort from the Framingham Heart Study, excluding only those with diabetes, cancer, and cardiovascular disease. This is still a general population study.",Exclude,"A prospective observational study examining smoking cessation and weight gain meets most population and design criteria, including adult participants, complete cessation, and long-term follow-up. However, the study lacks validated psychological or quality of life measures, focusing exclusively on physical weight outcomes, which prevents full alignment with the comprehensive screening requirements.",0.9
"Smoking cessation, anxiety, mood and quality of life: reassuring evidences.","I. Baiardini, C. Sorino, F. Di Marco, F. Facchini",-,-,Minerva Medica,18,2014,maybe,"The abstract does not explicitly state the age of participants, but since this is a systematic review of longitudinal studies including both general population and those with mental health disorders, it likely includes adults, though there is some uncertainty.",maybe,"The abstract does not specify the baseline smoking frequency of participants, so it is unclear if the study includes regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study examines complete smoking cessation, comparing those who ""stop smoking"" versus those who ""continue to smoke.""",yes,The study uses validated measures of psychological quality of life and other mental health outcomes.,yes,"The abstract explicitly states that this is a systematic review and meta-analysis of longitudinal studies, including RCTs and cohort studies.",maybe,"While these are longitudinal studies, the specific follow-up duration is not mentioned in the abstract.",yes,"The study explicitly includes multiple psychological measures including anxiety, depression, positive affect, psychological quality of life, and stress.",yes,"The study includes both general population and those with mental health disorders, with results showing similar associations across both groups.",Exclude,"A systematic review and meta-analysis examining smoking cessation's impact on mental health, the study meets key screening criteria including appropriate study design, complete cessation focus, and comprehensive psychological outcome measures. While some details about participant demographics and follow-up duration remain unclear, the research provides robust evidence across general and clinical populations about the psychological benefits of quitting smoking.",4.1
